,name,lookup_value
3813,CYCLAMEN AUTUMNALE WHOLE,CYCLAMEN HEDERIFOLIUM
3814,CYMBOPOGON SCHOENANTHUS SUBSP. PROXIMUS [WHO-DD],CYMBOPOGON SCHOENANTHUS
3815,CYMBOPOGON SCHOENANTHUS SUBSP. PROXIMUS (HOCHST. EX A.RICH.) MAIRE & WEILLER,CYMBOPOGON SCHOENANTHUS
3816,CYMBOPOGON PROXIMUS WHOLE,CYMBOPOGON SCHOENANTHUS
3817,CYMBOPOGON SENNARENSIS WHOLE,CYMBOPOGON SCHOENANTHUS
3818,ANDROPOGON SENNARENSIS WHOLE,CYMBOPOGON SCHOENANTHUS
3819,ANDROPOGON GIGANTEUS WHOLE,CYMBOPOGON SCHOENANTHUS
3820,GYMNANTHELIA SENNARENSIS WHOLE,CYMBOPOGON SCHOENANTHUS
3821,ANDROPOGON PROXIMUS WHOLE,CYMBOPOGON SCHOENANTHUS
3822,CYMBOPOGON SCHOENANTHUS SUBSP. PROXIMUS WHOLE,CYMBOPOGON SCHOENANTHUS
3823,GYMNANTHELIA PROXIMA WHOLE,CYMBOPOGON SCHOENANTHUS
3824,NUT GRASS WHOLE,CYPERUS ROTUNDUS
3825,CYPERUS PROCERULUS WHOLE,CYPERUS ROTUNDUS
3826,CYPERUS HERBICAVUS WHOLE,CYPERUS ROTUNDUS
3827,CYPERUS HEXASTACHYOS WHOLE,CYPERUS ROTUNDUS
3828,CYPERUS ROTUNDUS WHOLE,CYPERUS ROTUNDUS
3829,SUO CAO WHOLE,CYPERUS ROTUNDUS
3830,CYPERUS TENUIFOLIUS WHOLE,CYPERUS ROTUNDUS
3831,CYPERUS MERKERI WHOLE,CYPERUS ROTUNDUS
3832,CYPERUS HYDRA WHOLE,CYPERUS ROTUNDUS
3833,XIANG FU WHOLE,CYPERUS ROTUNDUS
3834,PAKOPAKO WHOLE,CYPERUS ROTUNDUS
3835,CYPERUS RADICOSUS WHOLE,CYPERUS ROTUNDUS
3836,CYPERUS NUBICUS WHOLE,CYPERUS ROTUNDUS
3837,CYPERUS (CYPERUS ROTUNDUS) [HOC],CYPERUS ROTUNDUS
3838,COCO SEDGE WHOLE,CYPERUS ROTUNDUS
3839,CYPERUS ROTUNDUS [WHO-DD],CYPERUS ROTUNDUS
3840,CYPERUS RUBICUNDUS WHOLE,CYPERUS ROTUNDUS
3841,CYPERUS MICREILEMA WHOLE,CYPERUS ROTUNDUS
3842,CYPERUS PURPUREOVARIEGATUS WHOLE,CYPERUS ROTUNDUS
3843,CYPERUS AGRESTIS WHOLE,CYPERUS ROTUNDUS
3844,PYCREUS ROTUNDUS WHOLE,CYPERUS ROTUNDUS
3845,MUSTA WHOLE,CYPERUS ROTUNDUS
3846,NUT SEDGE WHOLE,CYPERUS ROTUNDUS
3847,CYPERUS LEPTOSTACHYUS WHOLE,CYPERUS ROTUNDUS
3848,CYPERUS LAEVISSIMUS WHOLE,CYPERUS ROTUNDUS
3849,PURPLE NUT SEDGE WHOLE,CYPERUS ROTUNDUS
3850,XIANG FU ZI WHOLE,CYPERUS ROTUNDUS
3851,CHAGUAN HUMATAG WHOLE,CYPERUS ROTUNDUS
3852,COCOGRASS WHOLE,CYPERUS ROTUNDUS
3853,CYPERUS BULBOSOSTOLONIFERUS WHOLE,CYPERUS ROTUNDUS
3854,CYPERUS TAYLORII WHOLE,CYPERUS ROTUNDUS
3855,SCHOENUS TUBEROSUS WHOLE,CYPERUS ROTUNDUS
3856,CYPERUS WEINLANDII WHOLE,CYPERUS ROTUNDUS
3857,NUTGRASS WHOLE,CYPERUS ROTUNDUS
3858,CYPERUS COMOSUS WHOLE,CYPERUS ROTUNDUS
3859,CYPERUS BIFAX WHOLE,CYPERUS ROTUNDUS
3860,GALINGALE WHOLE,CYPERUS ROTUNDUS
3861,PURPLE NUTSEDGE WHOLE,CYPERUS ROTUNDUS
3862,CYPERUS OLIGANTHUS WHOLE,CYPERUS ROTUNDUS
3863,CHLOROCYPERUS ROTUNDUS WHOLE,CYPERUS ROTUNDUS
3864,COCO-GRASS WHOLE,CYPERUS ROTUNDUS
3865,CYPERUS HILDRA WHOLE,CYPERUS ROTUNDUS
3866,CYPERUS MARITIMUS WHOLE,CYPERUS ROTUNDUS
3867,CYPERUS DISRUPTUS WHOLE,CYPERUS ROTUNDUS
3868,CYPERUS RUDIOI WHOLE,CYPERUS ROTUNDUS
3869,CYPERUS OLIVARIS WHOLE,CYPERUS ROTUNDUS
3870,CYPERUS TETRASTACHYOS WHOLE,CYPERUS ROTUNDUS
3871,CYPERUS OCHREOIDES WHOLE,CYPERUS ROTUNDUS
3872,CYPERUS PLATYSTACHYS WHOLE,CYPERUS ROTUNDUS
3873,CYPERUS PSEUDOVARIEGATUS WHOLE,CYPERUS ROTUNDUS
3874,CYPERUS ROTUNDUS L.,CYPERUS ROTUNDUS
3875,KILI'O'OPU WHOLE,CYPERUS ROTUNDUS
3876,CYPERUS WHOLE,CYPERUS ROTUNDUS
3877,CHLOROCYPERUS SALAAMENSIS WHOLE,CYPERUS ROTUNDUS
3878,CYPERUS ARABICUS WHOLE,CYPERUS ROTUNDUS
3879,CYPERUS BICOLOR WHOLE,CYPERUS ROTUNDUS
3880,CYPERUS YOSHINAGAE WHOLE,CYPERUS ROTUNDUS
3881,DACTYLORHIZA INCARNATA SUBSP. INCARNATA [WHO-DD],DACTYLORHIZA INCARNATA
3882,ORCHIS ALTAICA WHOLE,DACTYLORHIZA INCARNATA
3883,DACTYLORHIZA INCARNATA WHOLE,DACTYLORHIZA INCARNATA
3884,DACTYLORHIZA INTERMEDIA WHOLE,DACTYLORHIZA INCARNATA
3885,ORCHIS COMOSA WHOLE,DACTYLORHIZA INCARNATA
3886,ORCHIS EXTENSA WHOLE,DACTYLORHIZA INCARNATA
3887,DACTYLORHIZA COMOSA WHOLE,DACTYLORHIZA INCARNATA
3888,DACTYLORHIZA INCARNATA (L.) SO,DACTYLORHIZA INCARNATA
3889,ORCHIS CONDENSA WHOLE,DACTYLORHIZA INCARNATA
3890,ORCHIS ANGUSTIFOLIA WHOLE,DACTYLORHIZA INCARNATA
3891,ORCHIS PALMATA WHOLE,DACTYLORHIZA INCARNATA
3892,DACTYLORHIZA LATIFOLIA WHOLE,DACTYLORHIZA INCARNATA
3893,ORCHIS THARANDINA WHOLE,DACTYLORHIZA INCARNATA
3894,ORCHIS TRAUNSTEINERI WHOLE,DACTYLORHIZA INCARNATA
3895,DACTYLORHIZA STRICTIFOLIA WHOLE,DACTYLORHIZA INCARNATA
3896,ORCHIS MILITARIS WHOLE,DACTYLORHIZA INCARNATA
3897,ORCHIS LANCEATA WHOLE,DACTYLORHIZA INCARNATA
3898,ORCHIS INCARNATA WHOLE,DACTYLORHIZA INCARNATA
3899,ORCHIS STRICTIFLORA WHOLE,DACTYLORHIZA INCARNATA
3900,ZI DIAN ZHANG LIE LAN WHOLE,DACTYLORHIZA INCARNATA
3901,ORCHIS FISTULATA WHOLE,DACTYLORHIZA INCARNATA
3902,DACTYLORHIZA INCARNATA SUBSP. INCARNATA WHOLE,DACTYLORHIZA INCARNATA
3903,DACTYLORCHIS INCARNATA WHOLE,DACTYLORHIZA INCARNATA
3904,ORCHIS DIVARICATA WHOLE,DACTYLORHIZA INCARNATA
3905,MISTRALIA GNIDIUM WHOLE,DAPHNE GNIDIUM
3906,DAPHNE GNIDIUM [WHO-DD],DAPHNE GNIDIUM
3907,DAPHNE GNIDIUM L.,DAPHNE GNIDIUM
3908,DAPHNE ORTHOPHYLLA WHOLE,DAPHNE GNIDIUM
3909,LAUREOLA GNIDIUM WHOLE,DAPHNE GNIDIUM
3910,DAPHNE GNIDIUM WHOLE,DAPHNE GNIDIUM
3911,DAPHNE PANICULATA WHOLE,DAPHNE GNIDIUM
3912,THYMELAEA GNIDIUM WHOLE,DAPHNE GNIDIUM
3913,DAPHNE LAUREOLA L.,DAPHNE LAUREOLA
3914,DAPHNE KABYLICA WHOLE,DAPHNE LAUREOLA
3915,DAPHNE LAUREOLA WHOLE,DAPHNE LAUREOLA
3916,DAPHNE ARVERNENSIS WHOLE,DAPHNE LAUREOLA
3917,THYMELAEA LAUREOLA WHOLE,DAPHNE LAUREOLA
3918,SPURGELAUREL WHOLE,DAPHNE LAUREOLA
3919,DAPHNE PYCNOPHYLLA WHOLE,DAPHNE LAUREOLA
3920,DAPHNE MAJOR WHOLE,DAPHNE LAUREOLA
3921,LAUREOLA MAS WHOLE,DAPHNE LAUREOLA
3922,DAPHNE CANTABRICA WHOLE,DAPHNE LAUREOLA
3923,DAPHNE MULTIFLORA WHOLE,DAPHNE LAUREOLA
3924,LAUREOLA SEMPERVIRENS WHOLE,DAPHNE LAUREOLA
3925,DAPHNE SEMPERVIRENS WHOLE,DAPHNE LAUREOLA
3926,DAPHNE BUXIFOLIA WHOLE,DAPHNE OLEOIDES
3927,NEMOCTIS ANGUSTIFOLIA WHOLE,DAPHNE OLEOIDES
3928,DAPHNE OLEOIDES WHOLE,DAPHNE OLEOIDES
3929,DAPHNE OLEOIDES SCHREB.,DAPHNE OLEOIDES
3930,NEMOCTIS BUXIFOLIA WHOLE,DAPHNE OLEOIDES
3931,DAPHNE GNIDIOIDES WHOLE,DAPHNE OLEOIDES
3932,DAPHNE EUBOICA WHOLE,DAPHNE OLEOIDES
3933,DAPHNE LUCIDA WHOLE,DAPHNE OLEOIDES
3934,DAPHNE HISPANICA WHOLE,DAPHNE OLEOIDES
3935,DAPHNE GLANDULOSA WHOLE,DAPHNE OLEOIDES
3936,DAPHNE VAHLII WHOLE,DAPHNE SERICEA
3937,DAPHNE AUSTRALIS WHOLE,DAPHNE SERICEA
3938,DAPHNE SERICEA WHOLE,DAPHNE SERICEA
3939,DAPHNE BLAGAYANA WHOLE,DAPHNE SERICEA
3940,DAPHNE OLEIFOLIA WHOLE,DAPHNE SERICEA
3941,DAPHNE COLLINA WHOLE,DAPHNE SERICEA
3942,DAPHNE SERICEA VAHL,DAPHNE SERICEA
3943,DAPHNE AUREA WHOLE,DAPHNE SERICEA
3944,DAUCUS CAROTA [WHO-DD],DAUCUS CAROTA
3945,DAUCUS CAROTA SUBSP. CAROTA WHOLE,DAUCUS CAROTA
3946,WILD CARROT [HOC],DAUCUS CAROTA
3947,DAUCUS CAROTA L.,DAUCUS CAROTA
3948,QUEEN ANN'S LACE WHOLE,DAUCUS CAROTA
3949,QUEEN ANNE'S-LACE WHOLE,DAUCUS CAROTA
3950,DAUCUS CAROTA WHOLE,DAUCUS CAROTA
3951,SALOSI WHOLE,DAUCUS CAROTA
3952,QUEEN'S-LACE WHOLE,DAUCUS CAROTA
3953,WILD CARROT WHOLE,DAUCUS CAROTA
3954,FLAMETREE WHOLE,DELONIX REGIA
3955,PEACOCK-FLOWER WHOLE,DELONIX REGIA
3956,ROYAL POINCIANA [HOC],DELONIX REGIA
3957,FLAMBOYANT WHOLE,DELONIX REGIA
3958,FLAME TREE WHOLE,DELONIX REGIA
3959,FLAMBOYANT TREE WHOLE,DELONIX REGIA
3960,DELONIX REGIA (BOJER EX HOOK.) RAF.,DELONIX REGIA
3961,ROYAL POINCIANA WHOLE,DELONIX REGIA
3962,CAESALPINIA REGIA WHOLE,DELONIX REGIA
3963,POINCIANA REGIA WHOLE,DELONIX REGIA
3964,DELONIX REGIA WHOLE,DELONIX REGIA
3965,DELPHINIUM GRANDIFLORUM L.,DELPHINIUM GRANDIFLORUM
3966,DELPHINIUM CHINENSE WHOLE,DELPHINIUM GRANDIFLORUM
3967,DELPHINASTRUM GRANDIFLORUM WHOLE,DELPHINIUM GRANDIFLORUM
3968,DELPHINIUM BONATII WHOLE,DELPHINIUM GRANDIFLORUM
3969,SIBERIAN LARKSPUR WHOLE,DELPHINIUM GRANDIFLORUM
3970,DELPHINIUM SINENSE WHOLE,DELPHINIUM GRANDIFLORUM
3971,CHIENIA HONANENSIS WHOLE,DELPHINIUM GRANDIFLORUM
3972,DELPHINIUM GRANDIFLORUM [WHO-DD],DELPHINIUM GRANDIFLORUM
3973,DELPHINIUM GRANDIFLORUM WHOLE,DELPHINIUM GRANDIFLORUM
3974,HYLODESMUM GLUTINOSUM WHOLE,DESMODIUM GLUTINOSUM
3975,HEDYSARUM ERYTHRINIFOLIUM WHOLE,DESMODIUM GLUTINOSUM
3976,DESMODIUM GLUTINOSUM WHOLE,DESMODIUM GLUTINOSUM
3977,DESMODIUM ACUMINATUM WHOLE,DESMODIUM GLUTINOSUM
3978,LARGEFLOWER TICKCLOVER WHOLE,DESMODIUM GLUTINOSUM
3979,POINTEDLEAF TICKTREFOIL WHOLE,DESMODIUM GLUTINOSUM
3980,HEDYSARUM GLUTINOSUM WHOLE,DESMODIUM GLUTINOSUM
3981,HEDYSARUM ACUMINATUM WHOLE,DESMODIUM GLUTINOSUM
3982,TREFOIL TICKCLOVER WHOLE,DESMODIUM GLUTINOSUM
3983,DESMODIUM ERYTHRYNIFOLIUM WHOLE,DESMODIUM GLUTINOSUM
3984,DESMODIUM GRANDIFLORUM WHOLE,DESMODIUM GLUTINOSUM
3985,DESMODIUM GLUTINOSUM (MUHL. EX WILLD.) ALPH.WOOD,DESMODIUM GLUTINOSUM
3986,DIANTHUS CHLOAEPHYLLUS WHOLE,DIANTHUS CARTHUSIANORUM
3987,CLUSTERHEAD WHOLE,DIANTHUS CARTHUSIANORUM
3988,DIANTHUS CERETANICUS WHOLE,DIANTHUS CARTHUSIANORUM
3989,DIANTHUS CLAVATUS WHOLE,DIANTHUS CARTHUSIANORUM
3990,DIANTHUS MONTANUS WHOLE,DIANTHUS CARTHUSIANORUM
3991,DIANTHUS GRAMINEUS WHOLE,DIANTHUS CARTHUSIANORUM
3992,DIANTHUS SEMPERFLORENS WHOLE,DIANTHUS CARTHUSIANORUM
3993,DIANTHUS SUBNEGLECTUS WHOLE,DIANTHUS CARTHUSIANORUM
3994,DIANTHUS CONGESTUS WHOLE,DIANTHUS CARTHUSIANORUM
3995,DIANTHUS CARPATHICUS WHOLE,DIANTHUS CARTHUSIANORUM
3996,DIANTHUS RUPICOLA WHOLE,DIANTHUS CARTHUSIANORUM
3997,DIANTHUS FASCICULATUS WHOLE,DIANTHUS CARTHUSIANORUM
3998,DIANTHUS CARTHUSIANORUM WHOLE,DIANTHUS CARTHUSIANORUM
3999,CARYOPHYLLUS CARTHUSIANORUM WHOLE,DIANTHUS CARTHUSIANORUM
4000,DIANTHUS VELEBITICUS WHOLE,DIANTHUS CARTHUSIANORUM
4001,TUNICA CARTHUSIANORUM WHOLE,DIANTHUS CARTHUSIANORUM
4002,DIANTHUS CARTHUSIANORUM L.,DIANTHUS CARTHUSIANORUM
4003,DIANTHUS NANUS WHOLE,DIANTHUS CARTHUSIANORUM
4004,SILENE CARTHUSIANORUM WHOLE,DIANTHUS CARTHUSIANORUM
4005,DIANTHUS CRENATUS WHOLE,DIANTHUS CRENATUS
4006,DIANTHUS INAEQUALIS WHOLE,DIANTHUS CRENATUS
4007,DIANTHUS CRENATUS THUNB.,DIANTHUS CRENATUS
4008,STICKMANNIA HEXANDRA WHOLE,DICHORISANDRA HEXANDRA
4009,CONVALLARIA DIFFUSA WHOLE,DICHORISANDRA HEXANDRA
4010,DICHORISANDRA SIEBERTII WHOLE,DICHORISANDRA HEXANDRA
4011,STICKMANNIA OVALIFOLIA WHOLE,DICHORISANDRA HEXANDRA
4012,DICHORISANDRA INTERMEDIA WHOLE,DICHORISANDRA HEXANDRA
4013,DICHORISANDRA SCHOMBURGKIANA WHOLE,DICHORISANDRA HEXANDRA
4014,DICHORISANDRA OVATA WHOLE,DICHORISANDRA HEXANDRA
4015,STICKMANNIA INAEQUALIS WHOLE,DICHORISANDRA HEXANDRA
4016,DICHORISANDRA HEXANDRA (AUBL.) STANDL.,DICHORISANDRA HEXANDRA
4017,DICHORISANDRA INAEQUALIS WHOLE,DICHORISANDRA HEXANDRA
4018,DICHORISANDRA MEXICANA WHOLE,DICHORISANDRA HEXANDRA
4019,DICHORISANDRA SCANDENS WHOLE,DICHORISANDRA HEXANDRA
4020,DICHORISANDRA HEXANDRA WHOLE,DICHORISANDRA HEXANDRA
4021,ANEILEMA ECUADORIENSE WHOLE,DICHORISANDRA HEXANDRA
4022,TRADESCANTIA DIVARICATA WHOLE,DICHORISANDRA HEXANDRA
4023,DICHORISANDRA AFFINIS WHOLE,DICHORISANDRA HEXANDRA
4024,DICHORISANDRA OVALIFOLIA WHOLE,DICHORISANDRA HEXANDRA
4025,TRADESCANTIA AUBLETII WHOLE,DICHORISANDRA HEXANDRA
4026,COMMELINA HEXANDRA WHOLE,DICHORISANDRA HEXANDRA
4027,STICKMANNIA MEXICANA WHOLE,DICHORISANDRA HEXANDRA
4028,DIGITALIS FERRUGINEA WHOLE,DIGITALIS FERRUGINEA
4029,DIGITALIS PICHLERI WHOLE,DIGITALIS FERRUGINEA
4030,DIGITALIS BRACHYANTHA WHOLE,DIGITALIS FERRUGINEA
4031,DIGITALIS FERRUGINEA L.,DIGITALIS FERRUGINEA
4032,RUSTY FOXGLOVE WHOLE,DIGITALIS FERRUGINEA
4033,SYNTHERISMA INSULARIS WHOLE,DIGITARIA INSULARIS
4034,TRICHACHNE INSULARIS WHOLE,DIGITARIA INSULARIS
4035,PANICUM INSULARE WHOLE,DIGITARIA INSULARIS
4036,PANICUM DUCHAISSINGII WHOLE,DIGITARIA INSULARIS
4037,PANICUM GAVANIANUM WHOLE,DIGITARIA INSULARIS
4038,PANICUM FALSUM WHOLE,DIGITARIA INSULARIS
4039,MILIUM HIRSUTUM WHOLE,DIGITARIA INSULARIS
4040,NARDUS DACTYLOIDES WHOLE,DIGITARIA INSULARIS
4041,ANDROPOGON INSULARIS WHOLE,DIGITARIA INSULARIS
4042,TRICHOLAENA SACCHAROIDES WHOLE,DIGITARIA INSULARIS
4043,DIGITARIA INSULARIS (L.) MEZ EX EKMAN,DIGITARIA INSULARIS
4044,ANDROPOGON FABRICII WHOLE,DIGITARIA INSULARIS
4045,TRICHOLAENA INSULARIS WHOLE,DIGITARIA INSULARIS
4046,DIGITARIA INSULARIS WHOLE,DIGITARIA INSULARIS
4047,SACCHARUM POLYSTACHYUM WHOLE,DIGITARIA INSULARIS
4048,VALOTA INSULARIS WHOLE,DIGITARIA INSULARIS
4049,AGROSTIS VILLOSA WHOLE,DIGITARIA INSULARIS
4050,DIOSCOREA ANGUSTIFLORA WHOLE,DIOSCOREA PRAEHENSILIS
4051,DIOSCOREA LIEBRECHTSIANA WHOLE,DIOSCOREA PRAEHENSILIS
4052,DIOSCOREA PRAEHENSILIS WHOLE,DIOSCOREA PRAEHENSILIS
4053,DIOSCOREA COSTERMANSIANA WHOLE,DIOSCOREA PRAEHENSILIS
4054,DIOSCOREA PRAEHENSILIS BENTH.,DIOSCOREA PRAEHENSILIS
4055,DIOSCOREA ODORATISSIMA WHOLE,DIOSCOREA PRAEHENSILIS
4056,BUSH YAM WHOLE,DIOSCOREA PRAEHENSILIS
4057,DIOSCOREA HIRTICAULIS WHOLE,DIOSCOREA VILLOSA
4058,DIOSCOREA GLAUCA WHOLE,DIOSCOREA VILLOSA
4059,DIOSCOREA LONGIFOLIA WHOLE,DIOSCOREA VILLOSA
4060,DIOSCOREA PRUINOSA WHOLE,DIOSCOREA VILLOSA
4061,DIOSCOREA HIRTICAULIS BARTLETT,DIOSCOREA VILLOSA
4062,DIOSCOREA GLAUCA MUHL. EX BARTLETT,DIOSCOREA VILLOSA
4063,DIOSCOREA CLIFFORTIANA WHOLE,DIOSCOREA VILLOSA
4064,DIOSCOREA WALTHERI WHOLE,DIOSCOREA VILLOSA
4065,DIOSCOREA QUATERNATA J.F. GMEL.,DIOSCOREA VILLOSA
4066,DIOSCOREA LLOYDIANA WHOLE,DIOSCOREA VILLOSA
4067,COLIC WHOLE,DIOSCOREA VILLOSA
4068,DIOSCOREA OPPOSITA WHOLE,DIOSCOREA VILLOSA
4069,DIOSCOREA VILLOSA L.,DIOSCOREA VILLOSA
4070,DIOSCOREA PANICULATA WHOLE,DIOSCOREA VILLOSA
4071,RHEUMATISM WHOLE,DIOSCOREA VILLOSA
4072,DIOSCOREA MEGAPTERA WHOLE,DIOSCOREA VILLOSA
4073,DIOSCOREA QUINATA WHOLE,DIOSCOREA VILLOSA
4074,DIOSCOREA QUATERNATA WHOLE,DIOSCOREA VILLOSA
4075,DIOSCOREA VILLOSA [WHO-DD],DIOSCOREA VILLOSA
4076,DIOSCOREA VILLOSA WHOLE,DIOSCOREA VILLOSA
4077,DIOSCOREA HEXAPHYLLA WHOLE,DIOSCOREA VILLOSA
4078,DIOSCOREA SATIVA WHOLE,DIOSCOREA VILLOSA
4079,MERIONE VILLOSA WHOLE,DIOSCOREA VILLOSA
4080,WILD YAM [HOC],DIOSCOREA VILLOSA
4081,WILD YAM WHOLE,DIOSCOREA VILLOSA
4082,DIOSCOREA REPANDA WHOLE,DIOSCOREA VILLOSA
4083,DIOSPYROS LUCIDA WHOLE,DIOSPYROS VIRGINIANA
4084,DIOSPYROS VIRGINIANA WHOLE,DIOSPYROS VIRGINIANA
4085,EASTERN PERSIMMON WHOLE,DIOSPYROS VIRGINIANA
4086,DIOSPYROS ANGUSTIFOLIA WHOLE,DIOSPYROS VIRGINIANA
4087,DIOSPYROS GUAIACANA WHOLE,DIOSPYROS VIRGINIANA
4088,DIOSPYROS MOSIERI WHOLE,DIOSPYROS VIRGINIANA
4089,DIOSPYROS VIRGINIANA L.,DIOSPYROS VIRGINIANA
4090,DIOSPYROS FERTILIS WHOLE,DIOSPYROS VIRGINIANA
4091,DIOSPYROS DIGYNA WHOLE,DIOSPYROS VIRGINIANA
4092,BLACK SAPOTE [HOC],DIOSPYROS VIRGINIANA
4093,DIOSPYROS INTERMEDIA WHOLE,DIOSPYROS VIRGINIANA
4094,PERSIMON VIRGINIANA WHOLE,DIOSPYROS VIRGINIANA
4095,COMMON PERSIMMON WHOLE,DIOSPYROS VIRGINIANA
4096,DIOSPYROS UNDULATA WHOLE,DIOSPYROS VIRGINIANA
4097,DIOSPYROS CILIATA WHOLE,DIOSPYROS VIRGINIANA
4098,DIOSPYROS DISTYLA WHOLE,DIOSPYROS VIRGINIANA
4099,DIOSPYROS PERSIMON WHOLE,DIOSPYROS VIRGINIANA
4100,DIOSPYROS CAROLINIANA WHOLE,DIOSPYROS VIRGINIANA
4101,DIOSPYROS CONCOLOR WHOLE,DIOSPYROS VIRGINIANA
4102,AMERICAN PERSIMMON [HOC],DIOSPYROS VIRGINIANA
4103,DIOSPYROS CALYCINA WHOLE,DIOSPYROS VIRGINIANA
4104,RAPHANUS ERUCOIDES WHOLE,DIPLOTAXIS ERUCOIDES
4105,SINAPIS APULA WHOLE,DIPLOTAXIS ERUCOIDES
4106,SISYMBRIUM ERUCOIDES WHOLE,DIPLOTAXIS ERUCOIDES
4107,DIPLOTAXIS VALENTINA WHOLE,DIPLOTAXIS ERUCOIDES
4108,DIPLOTAXIS HISPIDULA WHOLE,DIPLOTAXIS ERUCOIDES
4109,SINAPIS ERUCOIDES WHOLE,DIPLOTAXIS ERUCOIDES
4110,MALCOLMIA ARABICA WHOLE,DIPLOTAXIS ERUCOIDES
4111,EUZOMUM ERUCOIDES WHOLE,DIPLOTAXIS ERUCOIDES
4112,DIPLOTAXIS ERUCOIDES (L.) DC.,DIPLOTAXIS ERUCOIDES
4113,DIPLOTAXIS APULA WHOLE,DIPLOTAXIS ERUCOIDES
4114,DIPLOTAXIS LEIOCARPA WHOLE,DIPLOTAXIS ERUCOIDES
4115,ERUCASTRUM ERUCOIDES WHOLE,DIPLOTAXIS ERUCOIDES
4116,DIPLOTAXIS VERSICOLOR WHOLE,DIPLOTAXIS ERUCOIDES
4117,CRUCIFERA ERUCOIDES WHOLE,DIPLOTAXIS ERUCOIDES
4118,WHITE WALLROCKET WHOLE,DIPLOTAXIS ERUCOIDES
4119,BRASSICA APULA WHOLE,DIPLOTAXIS ERUCOIDES
4120,DIPLOTAXIS LONGISILIQUA WHOLE,DIPLOTAXIS ERUCOIDES
4121,DIPLOTAXIS RUSCINONENSIS WHOLE,DIPLOTAXIS ERUCOIDES
4122,DIPLOTAXIS SAGOTII WHOLE,DIPLOTAXIS ERUCOIDES
4123,DIPLOTAXIS ERUCOIDES WHOLE,DIPLOTAXIS ERUCOIDES
4124,DIPLOTAXIS FRUTICULOSA WHOLE,DIPLOTAXIS TENUIFOLIA
4125,SISYMBRIUM CARTILAGINEUM WHOLE,DIPLOTAXIS TENUIFOLIA
4126,DIPLOTAXIS RAMOSISSIMA WHOLE,DIPLOTAXIS TENUIFOLIA
4127,CRUCIFERA TENUIFOLIA WHOLE,DIPLOTAXIS TENUIFOLIA
4128,PERENNIAL WALLROCKET WHOLE,DIPLOTAXIS TENUIFOLIA
4129,SISYMBRIUM CATHOLICUM WHOLE,DIPLOTAXIS TENUIFOLIA
4130,SISYMBRIUM ACRE WHOLE,DIPLOTAXIS TENUIFOLIA
4131,SINAPIS TENUIFOLIA WHOLE,DIPLOTAXIS TENUIFOLIA
4132,ERUCA TENUIFOLIA WHOLE,DIPLOTAXIS TENUIFOLIA
4133,DIPLOTAXIS TENUIFOLIA (L.) DC.,DIPLOTAXIS TENUIFOLIA
4134,DIPLOTAXIS TENUIFOLIA WHOLE,DIPLOTAXIS TENUIFOLIA
4135,ERUCA PERENNIS WHOLE,DIPLOTAXIS TENUIFOLIA
4136,BRASSICA MURALIS WHOLE,DIPLOTAXIS TENUIFOLIA
4137,DIPLOTAXIS VARIABILIS WHOLE,DIPLOTAXIS TENUIFOLIA
4138,ERUCA SILVESTRIS WHOLE,DIPLOTAXIS TENUIFOLIA
4139,BRASSICA TENUIFOLIA WHOLE,DIPLOTAXIS TENUIFOLIA
4140,ERYSIMUM TENUIFILIUM WHOLE,DIPLOTAXIS TENUIFOLIA
4141,DIPLOTAXIS TANAITICA WHOLE,DIPLOTAXIS TENUIFOLIA
4142,SISYMBRIUM TENUIFOLIUM WHOLE,DIPLOTAXIS TENUIFOLIA
4143,DIPSACUS VULGARIS WHOLE,DIPSACUS FULLONUM
4144,DIPSACUS HORRIDUS WHOLE,DIPSACUS FULLONUM
4145,DIPSACUS ARCIMUSCI WHOLE,DIPSACUS FULLONUM
4146,DIPSACUS PALUSTRIS WHOLE,DIPSACUS FULLONUM
4147,DIPSACUS DIVARICATUS WHOLE,DIPSACUS FULLONUM
4148,VENUSCUP TEASLE WHOLE,DIPSACUS FULLONUM
4149,DIPSACUS FULLONUM [WHO-DD],DIPSACUS FULLONUM
4150,DIPSACUS CARMINATORIUS WHOLE,DIPSACUS FULLONUM
4151,DIPSACUS BOTTERII WHOLE,DIPSACUS FULLONUM
4152,DIPSACUS ORSINI WHOLE,DIPSACUS FULLONUM
4153,DIPSACUS SYLVESTRIS HUDS.,DIPSACUS FULLONUM
4154,DIPSACUS MEYERI WHOLE,DIPSACUS FULLONUM
4155,DIPSACUS SINUATUS WHOLE,DIPSACUS FULLONUM
4156,TEASEL WHOLE,DIPSACUS FULLONUM
4157,DIPSACUS MIRABILIS WHOLE,DIPSACUS FULLONUM
4158,DIPSACUS PURPURASCENS WHOLE,DIPSACUS FULLONUM
4159,COMMON TEASEL WHOLE,DIPSACUS FULLONUM
4160,DIPSACUS MORISONII WHOLE,DIPSACUS FULLONUM
4161,DIPSACUS SILVESTER WHOLE,DIPSACUS FULLONUM
4162,FULLER'S TEASEL WHOLE,DIPSACUS FULLONUM
4163,DIPSACUS FULLONUM L.,DIPSACUS FULLONUM
4164,DIPSACUS SYLVESTRIS WHOLE,DIPSACUS FULLONUM
4165,DIPSACUS CONNATOFOLIUS WHOLE,DIPSACUS FULLONUM
4166,DIPSACUS FULLONUM WHOLE,DIPSACUS FULLONUM
