,name,lookup_value
1741,CORIOLUS VERSICOLOR WHOLE,MAGNOLIA GRANDIFLORA
1742,LENS DISPERMA WHOLE,VIBURNUM OPULUS
1743,ANETHUM GRAVEOLENS WHOLE,CORNUS OFFICINALIS
1744,GALANGAL WHOLE,CURCUMA LONGA
1745,GARRETIA ANTHOTECA WHOLE,FRAXINUS AMERICANA
1746,HEDYSARUM ACUMINATUM WHOLE,SILYBUM MARIANUM
1747,SABAL CAROLINIANA WHOLE,CURCUMA LONGA
1748,DIANTHUS CRENATUS WHOLE,EUCLEA RACEMOSA
1749,ROMAN WORMWOOD,MEDICAGO POLYMORPHA
1750,BLUE-EYED MARY WHOLE,ULMUS MINOR
1751,SONCHUS SUBBIPINNATIFIDUS WHOLE,TYPHA DOMINGENSIS
1752,RANUNCULASTRUM ACRE WHOLE,PINUS ECHINATA
1753,POORMAN'S PEPPER WHOLE,STERCULIA URENS
1754,COMMON EASTERN FLEABANE WHOLE,GUARANA
1755,MALUS DOMESTICA,RIVINA HUMILIS
1756,CUPHEA CARTHAGENENSIS WHOLE,ARUM ITALICUM
1757,LIMNONESIS COMMUTATA WHOLE,HIBISCUS MOSCHEUTOS
1758,ESCHSCHOLZIA DOUGLASII WHOLE,BUTCHER'S-BROOM
1759,TEUCRIUM BOTRYS WHOLE,ERIOBOTRYA JAPONICA
1760,ALCHEMILLA XANTHOCHLORA ROTHM.,CITRUS AURANTIUM
1761,ULMUS FUNGOSA WHOLE,FICUS CARICA
1762,QUERCUS CERRIS,ARTEMISIA ABSINTHIUM
1763,CAPSELLA ORIGO WHOLE,PLECTRANTHUS AMBOINICUS
1764,CHINESE THOROUGHWAX WHOLE,CROTALARIA PALLIDA
1765,ASARUM CANADENSE WHOLE,VERBASCUM THAPSUS
1766,ALECTRA CORDATA WHOLE,DAPHNE LAUREOLA
1767,AMERICAN SPIKENARD WHOLE,FRANGULA ALNUS
1768,CRUCIFERA ERUCOIDES WHOLE,ANETHUM GRAVEOLENS
1769,ACHILLEA AGERATUM WHOLE,LONICERA JAPONICA
1770,ABIES BALDENSIS WHOLE,BLUMEA LACERA
1771,BLOOD WHOLE,LILIUM CANDIDUM
1772,TRIFOLIUM PRATENSE,PEUMUS BOLDUS
1773,LIN ZE LAN WHOLE,ILEX MUCRONATA
1774,PYROSTEGIA PALLIDA WHOLE,CORYLUS AVELLANA
1775,SOLANUM RUWENZORIENSE WHOLE,ACHILLEA MILLEFOLIUM
1776,SUNN CROTALARIA WHOLE,UNCARIA TOMENTOSA
1777,PRINOS INTEGRIFOLIUS WHOLE,SENNA
1778,JUSSIAEA POLYGONOIDES WHOLE,ELDERBERRY
1779,TRITICUM VAILLANTIANUM WHOLE,RHODIOLA
1780,SORGHUM SCOPARIUM WHOLE,VACCINIUM ANGUSTIFOLIUM
1781,TEUCRIUM ROSMARINIFOLIUM WHOLE,BARBERRY
1782,LINARIA GEBLERI WHOLE,CITRUS AURANTIUM
1783,CHIRONIA NANA WHOLE,BIDENS PILOSA
1784,RHEUMATISM WHOLE,ASPARAGUS RACEMOSUS
1785,CECROPIA SCABRIFOLIA WHOLE,CENTAURIUM PULCHELLUM
1786,TANG-KUEI,SOLIDAGO ODORA
1787,BORAGE WHOLE,ULMUS MINOR
1788,ERYTHRINA LYSISTEMON,SENNA ITALICA
1789,THYMBRA CAPITATA [WHO-DD],LACTUCA INDICA
1790,TAMARIX CHINENSIS LOUR.,FICUS CARICA
1791,CINNAMOMUM BURMANNI (NEES & T.NEES) BLUME,ILEX PARAGUARIENSIS
1792,RANUNCULUS STEVENII WHOLE,RUMEX CRISPUS
1793,PISTACIA TEREBINTHUS WHOLE,BIDENS PILOSA
1794,VICIA HIRSUTISSIMA WHOLE,DIPLOTAXIS ERUCOIDES
1795,MIRACLE GRASS WHOLE,ARTEMISIA ARBORESCENS
1796,CALEA CORDATA WHOLE,GUGGUL
1797,ESCHSCHOLZIA INFLATA WHOLE,NYMPHAEA ODORATA
1798,TRITICUM REPENS WHOLE,VERBASCUM SINUATUM
1799,BURSA BREMENSIS WHOLE,GALEGA OFFICINALIS
1800,TODDALIA ASIATICA WHOLE,CAPSELLA BURSA-PASTORIS
1801,CAMPHORA HAHNEMANNII WHOLE,GLYCINE MAX
1802,THYMUS VULGARIS,PERSICARIA MACULOSA
1803,SISON PEREGRINUM WHOLE,MALVA SYLVESTRIS
1804,ARUNDO VERSICOLOR MILL.,CITRUS AURANTIUM
1805,PETROSELINUM CRISPUM,MALVA SYLVESTRIS
1806,CLARKIA PURPUREA,QUERCUS ILEX
1807,CIMICIFUGA RACEMOSA WHOLE,COLLINSIA PARVIFLORA
1808,FERULA ANATRICHES WHOLE,CAPSELLA BURSA-PASTORIS
1809,TYPHA LATIFOLIA L.,COMBRETUM MOLLE
1810,GELSEMINUM RADICANS WHOLE,SOLIDAGO SIMPLEX
1811,WU LA GAN CAO WHOLE,CENTAURIUM PULCHELLUM
1812,ABIES MENZIESII WHOLE,URENA LOBATA
1813,MELIA BIRMANICA WHOLE,GYMNEMA SYLVESTRE
1814,STACHYS GLABRA WHOLE,FUMARIA OFFICINALIS
1815,QUERCUS CERRIS L.,PASSIFLORA EDULIS
1816,QUERCUS ASPLENIFOLIA WHOLE,ESCHSCHOLZIA CALIFORNICA
1817,DONG QUAI [HOC],DIPSACUS FULLONUM
1818,QUEEN-OF-THE-MEADOW WHOLE,ANGELICA PINNATA
1819,PHYTOLACCA AMERICANA L.,PONTEDERIA CORDATA
1820,CREEPING QUACKGRASS WHOLE,QUERCUS GAMBELII
1821,REJOUA NOVOGUINEENSIS WHOLE,URENA LOBATA
1822,FAGUS CASTANEA VAR. DENTATA WHOLE,DRIMA MARITIMA
1823,COUGHWORT WHOLE,SAMBUCUS NIGRA
1824,LIGUSTICUM CONDENSATUM WHOLE,SMYRNIUM OLUSATRUM
1825,MIKANIA SCANDENS (L.) WILLD.,ULMUS AMERICANA
1826,BURSA DRUCEANA WHOLE,HYPERICUM PERFORATUM
1827,LATHYRUS LENS WHOLE,OXALIS ACETOSELLA
1828,GLECHOMA CATARIA WHOLE,ERIODICTYON CALIFORNICUM
1829,DOLICHOS SCABRIUSCIDUS WHOLE,URENA LOBATA
1830,CASPARIA PENINSULARIS WHOLE,ROBINIA PSEUDOACACIA
1831,MEDICAGO AEGAGROPILA WHOLE,VICIA SATIVA
1832,COMMON RAGWEED WHOLE,LIMNOPHYTON OBTUSIFOLIUM
1833,TUSSILAGO ALPESTRIS WHOLE,SALVIA VERBENACA
1834,JAPANESE CORNELIAN-CHERRY WHOLE,PARONYCHIA ARGENTEA
1835,STISSERA LONGA WHOLE,CUPHEA CARTHAGENENSIS
1836,FLOATING PRIMROSE-WILLOW WHOLE,SESELI LIBANOTIS
1837,ZANTHOXYLUM ARMATUM DC.,CAPSELLA BURSA-PASTORIS
1838,ACANTHUS HISPANICUS WHOLE,CLINOPODIUM NEPETA
1839,THUJA FLABELLATA WHOLE,TAMARIX CHINENSIS
1840,PELTANDRA LATIFOLIA WHOLE,ULMUS MINOR
1841,SAMBUCUS MEXICANA C. PRESL EX DC.,PALISOTA HIRSUTA
1842,COMMON HOREHOUND WHOLE,PISTACIA TEREBINTHUS
1843,RUTA CILIATA WHOLE,SCHIZACHYRIUM SCOPARIUM
1844,MELIA [HOC],TRIFOLIUM PRATENSE
1845,SYDNEY BLACK WATTLE WHOLE,SOLANUM CAROLINENSE
1846,ABSINTHIUM VULGARE WHOLE,BAUHINIA DIVARICATA
1847,NORTHERN DEWBERRY WHOLE,RANUNCULUS ACRIS
1848,CHINESE AMOMUM (AMOMUM VILLOSUM) [HOC],SOLIDAGO ODORA
1849,VERONICELLA CHAMAEDRYS WHOLE,SALIX TRIANDRA
1850,ANTHYLLIS MACROCARPA WHOLE,MORELLA CERIFERA
1851,MICROCALA PULCHELLA WHOLE,SENNA
1852,SOLANUM OCCIDENTALE WHOLE,MITRACARPUS HIRTUS
1853,LIGUSTICUM CUMINUM WHOLE,ENTEROLOBIUM CYCLOCARPUM
1854,ESCHSCHOLZIA CONFINIS WHOLE,NIPHIDIUM CRASSIFOLIUM
1855,SALVIA NUSAIRIENSIS WHOLE,IPOMOEA WOLCOTTIANA
1856,PICEA KUKUNARIA WHOLE,ALECTRA SESSILIFLORA
1857,PTELEA TRIFOLIATA,YUCCA FILAMENTOSA
1858,RUDBECKIA MONTICOLA WHOLE,MATRICARIA CHAMOMILLA
1859,CASTANEA DENTATA (MARSHALL) BORKH.,NASTURTIUM OFFICINALE
1860,SODAAPPLE NIGHTSHADE WHOLE,GENTIANA PNEUMONANTHE
1861,CENTAURIUM HERMANNII WHOLE,ALCEA ROSEA
1862,PTERIS GARDNERI WHOLE,GREEN TEA
1863,CHAMAEMELUM CHAMOMILLA WHOLE,FOMITOPSIS PINICOLA
1864,ENGLISH ELM WHOLE,GANODERMA LUCIDUM
1865,KARPURA WHOLE,CASTILLEJA MINIATA
1866,FABA MAJOR WHOLE,JUNIPERUS OXYCEDRUS
1867,PTERIS EXCELSA WHOLE,DRIMA MARITIMA
1868,PAULLINIA ASIATICA WHOLE,CENTAUREA BENEDICTA
1869,JUGLANS LONGIROSTRIS WHOLE,LICORICE
1870,DAISY FLEABANE WHOLE,DIOSPYROS VIRGINIANA
1871,CHRISTMAS BERRY WHOLE,BAPTISIA ALBA
1872,FROSTED MINT WHOLE,HYGROPHILA COSTATA
1873,OENANTHE AQUATICA WHOLE,MORINDA CITRIFOLIA
1874,GLYCYRRHIZA HIRSUTA WHOLE,COMMELINA BENGHALENSIS
1875,VITEX CUNEATA WHOLE,CROTALARIA JUNCEA
1876,STINGING NETTLE HERB,TORMINALIS GLABERRIMA
1877,GARDENIA APPENDICULATA WHOLE,CORDYCEPS
1878,CROTALARIA PALLIDA,TURNERA DIFFUSA
1879,QUERCUS MACROCARPA,VERBASCUM SINUATUM
1880,TURNERA MICROPHYLLA WHOLE,MAMMEA AMERICANA
1881,ULMUS TILIIFOLIA WHOLE,HANDROANTHUS HEPTAPHYLLUS
1882,MITRACARPUS TORRESIANUS WHOLE,RANUNCULUS ACRIS
1883,SOJA HISPIDA MOENCH,AFRAMOMUM MELEGUETA
1884,COIX ANGULATA WHOLE,MIMOSA PUDICA
1885,TECOMA CURIALIS WHOLE,PARTHENOCISSUS QUINQUEFOLIA
1886,SALIX AMIGDALINA WHOLE,OPLOPANAX HORRIDUS
1887,CATWORT WHOLE,TANACETUM VULGARE
1888,E ZHU WHOLE,QUASSIA AMARA
1889,TILLANDSIA USNEOIDES (L.) L.,OPLOPANAX HORRIDUS
1890,LAUREL CLOCKVINE WHOLE,CHIMAPHILA UMBELLATA
1891,ASPARAGUS STACHYOIDES WHOLE,CINNAMOMUM CAMPHORA
1892,YELLOW POPLAR WHOLE,ARUNDO DONAX
1893,ORIGANUM ONITES,CICHORIUM INTYBUS
1894,AFRAMOMUM GRANA-PARADISI WHOLE,CAPSELLA BURSA-PASTORIS
1895,ASCLEPIAS PARVIFOLIA WHOLE,HYPERICUM PUNCTATUM
1896,SALTS RATTLEBOX WHOLE,MARRUBIUM VULGARE
1897,ABSINTH WORMWOOD WHOLE,QUERCUS GAMBELII
1898,CERINTHE STRIGOSA WHOLE,SAPONARIA OFFICINALIS
1899,CAPSELLA FOLIOSA WHOLE,CYCLAMEN HEDERIFOLIUM
1900,SALIX PERPENDENS WHOLE,PALIURUS SPINA-CHRISTI
1901,SELINUM LEVISTICUM WHOLE,CASTANEA PUMILA
1902,SALIX TRISTIS WHOLE,NICOTIANA GLAUCA
1903,RHAMNUS ALNIFOLIA [WHO-DD],STILLINGIA SYLVATICA
1904,AMPELOPSIS QUINQUEFOLIA WHOLE,APIUM GRAVEOLENS
1905,PANICUM GAVANIANUM WHOLE,ACHILLEA MILLEFOLIUM
1906,SILYBUM MARIANUM WHOLE,EUCALYPTUS ODORATA
1907,GREAT CELANDINE,PLANTAGO MAJOR
1908,VULNERARIA RUSTICA WHOLE,ASPARAGUS RACEMOSUS
1909,DIOSPYROS VIRGINIANA L.,RIVINA HUMILIS
1910,MORINDA CHRYSORHIZA WHOLE,CEPHALANTHUS OCCIDENTALIS
1911,CYCLAMEN ANGULARE WHOLE,INONOTUS OBLIQUUS
1912,ULMUS SATIVA WHOLE,SOLANUM ANGUIVI
1913,TRIFOLIUM PRATENSE L.,OXYRIA DIGYNA
1914,SODAAPPLE NIGHTSHADE WHOLE,PHYSALIS VIRGINIANA
1915,WHITE GLOBE ONION WHOLE,NICOTIANA GLAUCA
1916,COMBRETUM PETITIANUM WHOLE,MAGNOLIA OFFICINALIS
1917,POGOSTEMON JAVANICUS WHOLE,DAPHNE GNIDIUM
1918,HARUNGANA MADAGASCARIENSIS WHOLE,MAGNOLIA GRANDIFLORA
1919,PHASEOLUS SORDIDUS WHOLE,BLUMEA LACERA
1920,VERONICA DEFLECTANS WHOLE,ULMUS MINOR
1921,CINNAMOMUM OFFICINARUM WHOLE,RANUNCULUS ACRIS
1922,CYMBOPOGON SCHOENANTHUS,MORINDA CITRIFOLIA
1923,COLTSFOOT [HOC],CLINOPODIUM BOLIVIANUM
1924,SWEET MARJORAM [HOC],PANAX GINSENG
1925,SOLIDAGO CANADENSIS WHOLE,SALVIA VERBENACA
1926,CEDRUS ELEGANS WHOLE,SERENOA REPENS
1927,CEDRUS LIBANI A.RICH.,ARDISIA CRENATA
1928,DIPSACUS HORRIDUS WHOLE,GREEN TEA
1929,ERIODICTYON CALIFORNICUM,PISTIA STRATIOTES
1930,PINUS AUSTRIACA WHOLE,SALIX NIGRA
1931,PANAX GINSENG WHOLE,PINUS KESIYA
1932,CAMPHORA HIPPOCRATEI WHOLE,COMMELINA BENGHALENSIS
1933,BERBERIS AETHNENSIS WHOLE,CICHORIUM INTYBUS
1934,BIDENS PUMILA WHOLE,INULA HELENIUM
1935,HIBISCUS OCULIROSEUS WHOLE,SESBANIA SESBAN
1936,CERCIS ELLIPSOIDEA WHOLE,CASTANEA MOLLISSIMA
1937,DROSERA INTERMEDIA HAYNE,CLINOPODIUM NEPETA
1938,FUCUS EDENTATUS,OCIMUM TENUIFLORUM
1939,TAMARINDUS SOMALENSIS WHOLE,PINUS PALUSTRIS
1940,THUNBERGIA LAURIFOLIA LINDL.,TABERNAEMONTANA AURANTIACA
1941,MENTHA TOMENTELLA WHOLE,ALLIUM PORRUM
1942,FICUS RUGOSA WHOLE,SPARTIUM JUNCEUM
1943,HEDGE MUSTARD [HOC],GLADIOLUS DALENII
1944,ASTEROPHYLLUM GALIUM WHOLE,HYGROPHILA COSTATA
1945,NOTOPTERYGII RHIZOMA (NOTOPTERYGIUM INCISUM) WHOLE,MOMORDICA CHARANTIA
1946,TANACETUM PARTHENIUM (L.) SCH.BIP.,BARBERRY
1947,PINUS PALUSTRIS MILL.,THYMUS VULGARIS
1948,LAURUS BURMANNI WHOLE,RICINUS COMMUNIS
1949,SONCHUS GRACILIS WHOLE,JUNIPERUS VIRGINIANA
1950,RHAMNUS ALNIFOLIA WHOLE,ATRACTYLODES LANCEA
1951,THYMELAEA LAUREOLA WHOLE,ATRACTYLODES LANCEA
1952,AMORPHA MIMOSIFOLIA WHOLE,FOENICULUM VULGARE
1953,POLYGALA AMARA L.,INONOTUS OBLIQUUS
1954,GENTIANA OLIVIERI GRISEB.,GINKGO BILOBA
1955,FERULA COMMUNIS [WHO-DD],RUMEX CRISPUS
1956,CHELIDONIUM MAJUS EXTRACT [WHO-DD],SALVIA VERBENACA
1957,BREAD WHEAT,OXALIS ACETOSELLA
1958,GERANIUM IINUMAE WHOLE,SPERMACOCE VERTICILLATA
1959,PAPAVER ALBUM WHOLE,CICHORIUM INTYBUS
1960,RUSCUS FLEXUOSUS WHOLE,SESAMUM RADIATUM
1961,CORDYCEPS (CORDYCEPS MILITARIS) [HOC],PALIURUS SPINA-CHRISTI
1962,GLECHOMA ERECTA WHOLE,MANDRAGORA OFFICINARUM
1963,HAMAMELIS ROTUNDIFOLIA WHOLE,SONCHUS OLERACEUS
1964,RUMEX VENOSUS PURSH,FICUS CARICA
1965,CYPERUS RUDIOI WHOLE,EPIMEDIUM PUBESCENS
1966,CALLA MAXIMA WHOLE,CURCUMA ZEDOARIA
1967,ANETHUM GRAVEOLENS L.,TODDALIA ASIATICA
1968,PIAROPUS MESOMELAS WHOLE,FICUS SAUSSUREANA
1969,ASTEROPHYLLUM GALIUM WHOLE,JACOBAEA MARITIMA
1970,PICRIS ECHIOIDES WHOLE,ANEMOPSIS CALIFORNICA
1971,BARBE-DE-CAPUCHIN WHOLE,MORINDA CITRIFOLIA
1972,JUNCUS TORREYI WHOLE,ANEMOPSIS CALIFORNICA
1973,BIDENS DICHOTOMA WHOLE,LEONURUS CARDIACA
1974,ONONIS CAMPESTRIS,SONCHUS OLERACEUS
1975,GNAPHALIUM LEPTOPHYLLUM WHOLE,ULMUS MINOR
1976,PICEA PYRAMIDALIS WHOLE,URTICA DIOICA
1977,SHEPARDSPURSE,LEPIDIUM VIRGINICUM
1978,THUNBERGIA LAURIFOLIA WHOLE,CENTAUREA BENEDICTA
1979,TEUCRIUM VERONICIFOLIUM WHOLE,FICUS CARICA
1980,SPERMACOCE RECLINATA WHOLE,MORELLA CERIFERA
1981,EUTERPE OLERACEA WHOLE,AMORPHA FRUTICOSA
1982,CASTALIA RENIFORMIS WHOLE,MEDICAGO POLYMORPHA
1983,AMERICAN WILD GINGER [HOC],LIMNOPHYTON OBTUSIFOLIUM
1984,RHEUM ACUMINATUM,SALVIA VERBENACA
1985,LIMNIRIS VIRGINICA WHOLE,ACHILLEA NOBILIS
1986,ZAHLBRUCKNERA MICRANTHA WHOLE,AMARANTHUS SPINOSUS
1987,FERULA LOBELIANA WHOLE,ERIOBOTRYA JAPONICA
1988,FOMES ALBUS WHOLE,ORBEXILUM PEDUNCULATUM
1989,LIQUIDAMBAR TUBERCULATA WHOLE,RANUNCULUS ACRIS
1990,SWORD FERN WHOLE,RICINUS COMMUNIS
1991,POORMAN PEPPERWEED WHOLE,ANEMONE HEPATICA
1992,KIDNEY-HEADED SHARK WHOLE,CORIANDRUM SATIVUM
1993,ARUM RAPIFORME WHOLE,SCOLYMUS HISPANICUS
1994,PACIFIC RED-CEDAR WHOLE,SOLANUM ANGUIVI
1995,SCOPOLIA MICRACANTHA WHOLE,MIMOSA PUDICA
1996,FERULA ABYSSINICA WHOLE,ILEX OPACA
1997,BERBERIS ABORTIVA WHOLE,ACHILLEA MILLEFOLIUM
1998,BLACK BUGBANE,DRIMA MARITIMA
1999,SMILAX TAMNIFOLIA WHOLE,ASPARAGUS RACEMOSUS
2000,VERBASCUM THAPSUS [INCI],SENNA ITALICA
2001,RANUNCULUS BORAEANUS WHOLE,MORINDA CITRIFOLIA
2002,SOLIDAGO ALTISSIMA WHOLE,GLYCINE MAX
2003,BORAGE WHOLE,HEUCHERA CYLINDRICA
2004,CORYLUS AMERICANA WALTER,PELTANDRA VIRGINICA
2005,COMMELINA NERVOSA WHOLE,BACOPA MONNIERI
2006,LEONURUS RUDERALIS WHOLE,VINCA MAJOR
2007,BRASSICA NIGRA,EICHHORNIA CRASSIPES
2008,SENECIO BICOLOR WHOLE,CENTAURIUM PULCHELLUM
2009,PYROSTEGIA VENUSTA,URENA LOBATA
2010,HYPTIS SPICIGERA WHOLE,PYROSTEGIA VENUSTA
2011,ABIES ALBA [WHO-DD],BERBERIS VULGARIS
2012,FLAME KALANCHOE WHOLE,PINUS NIGRA
2013,BUSHY BLUESTEM WHOLE,TURNERA DIFFUSA
2014,SYMPHYTUM OFFICINALE,CLEMATIS VILLOSA
2015,EUPATORIUM SCANDENS WHOLE,NERIUM OLEANDER
2016,MAGNOLIA FRONDOSA WHOLE,PYROSTEGIA VENUSTA
2017,FOUR O'CLOCK [HOC],COLA NITIDA
2018,MICROPETALON LANUGINOSUM WHOLE,FRANGULA ALNUS
2019,BLACK BUGBANE WHOLE,CISTUS CRETICUS
2020,ALECTRA COMMUNIS WHOLE,MENTHA PULEGIUM
2021,ZANTHOXYLUM KIBADA WHOLE,CARYA ILLINOINENSIS
2022,MENTHA PULEGIUM WHOLE,SENNA ITALICA
2023,RIVINA PORTULACCOIDES WHOLE,SCOLYMUS HISPANICUS
2024,OCHROPORUS FOMENTARIUS WHOLE,COMMELINA DIFFUSA
2025,PSEUDOTSUGA DOUGLASII WHOLE,CARTHAMUS LANATUS
2026,QUERCUS LOBATA NEE,ESCHSCHOLZIA CALIFORNICA
2027,QUERCUS CHRYSOLEPIS LIEBM.,MIMOSA PUDICA
2028,DRYOPTERIS NORMALIS WHOLE,CAPSELLA BURSA-PASTORIS
2029,CERASUS CORNUTA WHOLE,PERSICARIA PUNCTATA
2030,PTERIDIUM AQUILINUM (L.) KUHN,ESCHSCHOLZIA CALIFORNICA
2031,QUERCUS LAUREI WHOLE,CINNAMOMUM BURMANNI
2032,PISTACIA TEREBINTHUS L.,FLAX SEED
2033,AMBAIBA HUMBOLDTIANA WHOLE,TEUCRIUM BOTRYS
2034,HAMAMELIS COMMUNIS WHOLE,EUGENIA BIFLORA
2035,SOLANUM ACULEASTRUM DUNAL,GINKGO BILOBA
2036,THECANISIA ULMARIA WHOLE,GLAUCIUM FLAVUM
2037,SOLANUM GROTEI WHOLE,CALLICARPA AMERICANA
2038,HIPPOGLOSSUM VIRGINICUM WHOLE,TRIPSACUM DACTYLOIDES
2039,CASTALIA ODORATA WHOLE,AMBROSIA ARTEMISIIFOLIA
2040,FICUS PEDUNCULATA WHOLE,ERYTHRINA ABYSSINICA
2041,ILEX CRENATA WHOLE,DAPHNE OLEOIDES
2042,CAULOPHYLLUM THALICTROIDES (L.) MICHX.,ECHINACEA PURPUREA
2043,PLECTRANTHUS ESCULENTUS N.E.BR.,BRASSICA RAPA
2044,GALLITRICHUM DICHROANTHUM WHOLE,THYMUS VULGARIS
2045,SILENE SAPONARIA WHOLE,ILEX PARAGUARIENSIS
2046,AUGUSTINEA MAJOR WHOLE,CRATAEGUS SONGARICA
2047,RHEUM PALMATUM WHOLE,ALLIUM CEPA
2048,EUPATORIUM LINDLEYANUM DC.,CAPSELLA BURSA-PASTORIS
2049,ALLIUM COMMUNE WHOLE,ALECTRA SESSILIFLORA
2050,NEUROLAENA LOBATA,ALLIUM CEPA
2051,HELEOGITON TABERNAEMONTANI WHOLE,RHYNCHOSTYLIS RETUSA
2052,ARCTIUM LAPPA [WHO-DD],MORINDA CITRIFOLIA
2053,JUNIPERUS POLYMORPHA WHOLE,PONTEDERIA CORDATA
2054,LAPPA ARCTIUM WHOLE,ERECHTITES HIERACIFOLIUS
2055,SQUILLA ANTHERICOIDES WHOLE,ESCHSCHOLZIA CALIFORNICA
2056,PROFESSOR WEED,PASSIFLORA EDULIS
2057,VITIS SUCCINEA WHOLE,CICHORIUM INTYBUS
2058,SENNA ALEXANDRINA WHOLE,RUBUS TRIVIALIS
2059,VICIA CUNEATA WHOLE,FRAXINUS AMERICANA
2060,CYCLAMEN SABAUDUM WHOLE,RICINUS COMMUNIS
2061,SMALLFLOWER TOUCH-ME-NOT WHOLE,CANTINOA AMERICANA
2062,ARISTOTELIA CHILENSIS (MOLINA) STUNTZ,DIOSPYROS VIRGINIANA
2063,URENA VIRGATA WHOLE,CALLUNA VULGARIS
2064,PERSICA VULGARIS WHOLE,CENTAURIUM ERYTHRAEA
2065,CITRUS TAMURANA WHOLE,ZANTHOXYLUM SIMULANS
2066,SWEETBAY MAGNOLIA [HOC],YUCCA FILAMENTOSA
2067,CHIONANTHUS TRIFLORUS WHOLE,MAGNOLIA VIRGINIANA
2068,BLACK ELDERBERRY WHOLE,MEDICAGO POLYMORPHA
2069,EUROPEAN ELDER [HOC],SALVIA MACROSIPHON
2070,COLTSFOOT WHOLE,MEDICAGO POLYMORPHA
2071,RUBUS BONUS WHOLE,HARUNGANA MADAGASCARIENSIS
2072,BOX-HOLLY,NERIUM OLEANDER
2073,QUERCUS NITESCENS WHOLE,ERECHTITES HIERACIFOLIUS
2074,RED MAPLE WHOLE,SONCHUS OLERACEUS
2075,CENTRANTHUS RUBER (L.) DC.,CECROPIA PELTATA
2076,BLESSED THISTLE [HOC],TAMARIX CHINENSIS
2077,CAPSELLA UMENSIS WHOLE,RHEXIA VIRGINICA
2078,HICORIUS DIGUETII WHOLE,TEUCRIUM BOTRYS
2079,SAMBUCUS EBULUS WHOLE,ASARUM CANADENSE
2080,LIVERWORT WHOLE,DIOSCOREA PRAEHENSILIS
2081,BRADBURYA BIFLORA WHOLE,LEVISTICUM OFFICINALE
2082,OXYACANTHA MONOGYNA WHOLE,RAPHANUS RAPHANISTRUM
2083,MAYTHORN WHOLE,GARDENIA THUNBERGIA
2084,CASPARIA PORRECTA WHOLE,ANETHUM GRAVEOLENS
2085,ORIGANUM MAJORANA WHOLE,MITRACARPUS HIRTUS
2086,POCAN WHOLE,RHYNCHOSTYLIS RETUSA
2087,MERTENSIA VIRGINICA (L.) PERS. EX LINK,HYDRASTIS CANADENSIS
2088,MAJORANA OREGA WHOLE,THUJA PLICATA
2089,ANDROPOGON SENNARENSIS WHOLE,ULMUS MINOR
2090,ARDISIA CRENATA [WHO-DD],HYLOTELEPHIUM TELEPHIUM
2091,ANTHOLYZA LAXIFLORA WHOLE,BRASSICA NIGRA
2092,ZIZIPHUS PALIURUS WHOLE,FOENICULUM VULGARE
2093,BLACK PEPPER,CASTILLEJA MINIATA
2094,MAESA ANGOLENSIS WHOLE,SPARTIUM JUNCEUM
2095,PERSICARIA DOLICHOPODA WHOLE,JUNIPERUS OXYCEDRUS
2096,GREAT BURDOCK WHOLE,ERYNGIUM FOETIDUM
2097,PERSICARIA MACULOSA GRAY,ACHILLEA MILLEFOLIUM
2098,FOMITOPSIS PINICOLA WHOLE,PALIURUS SPINA-CHRISTI
2099,PAULLINIA CUPANA,PARTHENOCISSUS QUINQUEFOLIA
2100,NIPHIDIUM CRASSIFOLIUM WHOLE,PALISOTA HIRSUTA
2101,CYPERUS PSEUDOVARIEGATUS WHOLE,SENNA
2102,GLAUCIUM FLAVUM WHOLE,PELTANDRA VIRGINICA
2103,CREPINIA CANINA WHOLE,ASCLEPIAS PERENNIS
2104,PRINOS LONGIPES WHOLE,ERUCA VESICARIA
2105,OREGON-GRAPE WHOLE,GYMNEMA SYLVESTRE
2106,SCOLYMUS HISPANICUS WHOLE,LINARIA VULGARIS
2107,PURGING NUT [HOC],PAPAVER SOMNIFERUM
2108,CORDIA DENTATA WHOLE,GLADIOLUS DALENII
2109,CAPSELLA ELEGANS WHOLE,ZALUZIANSKYA CAPENSIS
2110,TRADESCANTIA DIVARICATA WHOLE,CAPSELLA BURSA-PASTORIS
2111,CUCUMIS ASININUS WHOLE,PYRUS NIVALIS
2112,MAGNOLIA FRAGRANS WHOLE,BIDENS PILOSA
2113,JUSSIAEA ERECTA WHOLE,ILEX CRENATA
2114,CAPSELLA INTEGRELLA WHOLE,ERUCA VESICARIA
2115,DENG XIN CAO WHOLE,AFROHYBANTHUS ENNEASPERMUS
2116,ARUM PEREGRINUM WHOLE,VITIS VINIFERA
2117,AMOMUM ERYTHROCARPUM WHOLE,GENTIANA LUTEA
2118,PINUS KASYA WHOLE,LYCIUM PALLIDUM
2119,SALIX PYRIFOLIA ANDERSSON,EUPATORIUM LINDLEYANUM
2120,CHLORELLA VULGARIS,DRIMA MARITIMA
2121,DIPSACUS CARMINATORIUS WHOLE,BIDENS PILOSA
2122,ABSINTHIUM WHOLE,VERONICA CHAMAEDRYS
2123,MARRUBIUM BALLOTOIDES WHOLE,CROTALARIA PALLIDA
2124,COMBRETUM ARENGENSE WHOLE,CECROPIA PELTATA
2125,ANTHYLLIS ALPINA WHOLE,ESCHSCHOLZIA CALIFORNICA
