FAERS_drug_match,lookup_value
Paullinia cupana,COFFEE (CAFFEINE) LIQUID
Paullinia cupana,COFFI TABS [CAFFEINE\DIETARY SUPPLEMENT]
Paullinia cupana,COLD [CAFFEINE;CHLORPHENAMINE MALEATE;PARACETAMOL;PHENYLEPHRINE HY
Paullinia cupana,"COLD(SALICYLAMIDE, ACETAMINOPHEN, CAFFEINE.ANHYDROUS, PROMETHAZINE)"
Paullinia cupana,"COMBINED FORMULA: UNKNOWN, CAFFEINE, PARACETAMOL, FAMOTIDINE"
Paullinia cupana,"CORISTINA D (ACETYLSALICYLIC ACID, CAFFEINE, CHLORPHENAMINE MALEATE, P"
Paullinia cupana,"DAGA (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,DARVON COMPOUND-65 (ACETYLSALICYCLIC ACID/ CAFFEINE/ DEXTROPROPOXYPHEN
Paullinia cupana,"DARVON N-100 (ACETYLSALICYLIC ACID, CAFFEINE, DEXTROPROPOXYPHENE NAPSI"
Paullinia cupana,"DEXATRIM (CAFFEINE/PHENYLPROPANOLAMINE HYDROCHLORIDE, )"
Paullinia cupana,"DEXATRIM (CAFFEINE/PHENYLPROPANOLAMINE HYDROCHLORIDE,)"
Paullinia cupana,DEXATRIM (CAFFEINE/PHENYLPROPANOLAMINE HYDROCHLORIDE)
Paullinia cupana,DEXTROMETHORPHAN/PARACETAMOL/CAFFEINE
Paullinia cupana,"DICKININ (CAFFEINE, CHLORPHENAMINE MALEATE, DIHYDROCODEINE PHOSPATE, M"
Paullinia cupana,"DICKININ(CAFFEINE, CHLORPHENAMINE MALEATE, DIHYDROCODEINE PHOSPHATE"
Paullinia cupana,"DIHYDROCODEINE BITARTRATE, ACETAMINOPHEN AND CAFFEINE"
Paullinia cupana,"DIHYDROCODEINE, METHYLEPHEDRINE, CHLORPHENAMINE, CAFFEINE"
Paullinia cupana,DIHYDROERGOTAMINE MESILATE + DIPYRONE + CAFFEINE
Paullinia cupana,DIPYRONE+ISOMETHEPTENE+CAFFEINE
Paullinia cupana,DIPYRONE+ORPHENADRINE CITRATE+CAFFEINE
Paullinia cupana,DOLERON (ACETYLSALICYLIC ACID/CAFFEINE/DEXTROPROPOXYPHENE HYDROCHLORID
Paullinia cupana,"DOLGIC (AXOTAL /OLDFORM/) (CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"DORFLEX (CAFFEINE, METAMIZOLE, ORPHENADRINE CITRATE)"
Paullinia cupana,"DORFLEX (CAFFEINE, ORPHENADRINE CITRATE, METAMIZOLE) (CAFFEINE, ORPHEN"
Paullinia cupana,"DORFLEX (DIPYRONE SODIUM MONOHYDRATE, ORPHENADRINE CITRATE, CAFFEINE)"
Paullinia cupana,DORFLEX (DORFLEX - CAFFEINE/METAMIZOLE/METAMIZOLE SODIUM/ORPHENADRINE
Paullinia cupana,"DORILAX (PARACETAMOL, CARISOPRODOL, AND CAFFEINE)"
Paullinia cupana,"DORIL (CAFFEINE, ACETYLSALICYLIC ACID)"
Paullinia cupana,DRISTAN [ACETYLSALICYLIC ACID;ASCORBIC ACID;CAFFEINE;PHENACETIN;PHENYL
Paullinia cupana,DROTAVERINE + CAFFEINE + NAPROXEN+ PARACETAMOL+ PHENIRAMINE
Paullinia cupana,"EMPIRIN COMPOUND (ACETYLSALICYLIC ACID, CAFFEINE, PHENACETIN)"
Paullinia cupana,"EQUATE ASPIRIN 250MG, ACETAMINOPHEN 250MG, CAFFEINE  65MG FILM COATED WHITE TABLETS"
Paullinia cupana,ERGOTAMINE-CAFFEINE
Paullinia cupana,ERGOTAMINE-CAFFEINE (MIGRA DIOXADOL)
Paullinia cupana,ERGOTAMINE TARTRATE AND CAFFEINE
Paullinia cupana,ERGOTAMINE TARTRATE/CAFFEINE SANDOZ
Paullinia cupana,ERGOTAMINE TARTRATE/CAFFEINE TABLETS USP
Paullinia cupana,ERGOTAMINE TARTRATE W/CAFFEINE
Paullinia cupana,"ESGIC (BUTALBITAL, CAFFEINE, PARACETAMOL)"
Paullinia cupana,ESGIC (BUTALBITAL/CAFFEINE/PARACETAMOL)
Paullinia cupana,"ESGIC (BUTALBITAL, CAFFEINE, PARACETAMOL) TABLET"
Paullinia cupana,"ESGIC-PLUS (BUTALBITAL, CAFFEINE, PARACETAMOL)"
Paullinia cupana,ESTADOL [CAFFEINE;PARACETAMOL]
Paullinia cupana,"EUPHYTOSE (BALLOTA, CAFFEINE, CRATEGUS, KOLA, PASSION FLOWER, VALERIAN"
Paullinia cupana,"EXCEDRIN /00110301/ (ACETYLSALICYLIC ACID, CAFFEINE, SALICYLAMIDE)"
Paullinia cupana,"EXCEDRIN /00214201/ (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL, SALI"
Paullinia cupana,"EXCEDRIN /00391201/ (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN /00391201/(CAFFEINE, ACETYLSALICYLIC ACID)"
Paullinia cupana,"EXCEDRIN (ACETYLSALIC ACID, CAFFEINE, SALICYLAMIDE)"
Paullinia cupana,"EXCEDRIN (ACETYLSALICYLIC ACID, CAFFEINE)"
Paullinia cupana,"EXCEDRIN (ACETYLSALICYLIC ACID, CAFFEINE  AND ACETAMINOPHEN)"
Paullinia cupana,EXCEDRIN [ACETYLSALICYLIC ACID;CAFFEINE;PARAC
Paullinia cupana,"EXCEDRIN         (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN [ACETYLSALICYLIC ACID,CAFFEINE,PARACETAMOL]"
Paullinia cupana,"EXCEDRIN (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL, SALICYLAMIDE)"
Paullinia cupana,EXCEDRIN (ACETYLSALICYLIC ACID; CAFFEINE; PARACETAMOL; SALICYLAMIDE)
Paullinia cupana,EXCEDRIN (ACETYLSALICYLIC ACID/CAFFEINE/PARACETAMOL/SALICYLAM IDE)
Paullinia cupana,EXCEDRIN (ACETYLSALICYLIC ACID/CAFFEINE/PARACETAMOL/SALICYLAMIDE)
Paullinia cupana,"EXCEDRIN [ACETYLSALICYLIC ACID,CAFFEINE,PARACETAMOL,SALICYLAMIDE]"
Paullinia cupana,EXCEDRIN [ACETYLSALICYLIC ACID;CAFFEINE;PARACETAMOL;SALICYLAMIDE]
Paullinia cupana,"EXCEDRIN/ (ACETYLSALICYLIC ACID, CAFFEINE,PARACETAMOL, SALICYLAMIDE)"
Paullinia cupana,"EXCEDRIN(ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL, SALICYLAMIDE)"
Paullinia cupana,EXCEDRIN(ACETYLSALICYLIC ACID/CAFFEINE/PARACETAMOL/SALICYLAMIDE)
Paullinia cupana,EXCEDRIN [ACETYLSALICYLIC ACID;CAFFEINE;SALIC
Paullinia cupana,"EXCEDRIN (ACETYLSALICYLIC ACID, CAFFEINE, SALICYLAMIDE)"
Paullinia cupana,"EXCEDRIN [ACETYLSALICYLIC ACID,CAFFEINE,SALICYLAMIDE]"
Paullinia cupana,EXCEDRIN [ACETYLSALICYLIC ACID;CAFFEINE;SALICYLAMIDE]
Paullinia cupana,"EXCEDRIN (ACETYLSALICYLIC ACID, CAFFEINE, SALICYLAMIDE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN (ACETYLSALICYLIC ACID, CAFFEINE, SALICYLAMIDE) TABLET UNK TO"
Paullinia cupana,"EXCEDRIN BEXTRA STRENGTH (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC ACID"
Paullinia cupana,"EXCEDRIN /BRA/ (CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN /BRA/ (PARACETAMOL, CAFFEINE)"
Paullinia cupana,"EXCEDRIN (CAFFEINE, ACETYLSALICYLIC ACID)"
Paullinia cupana,"EXCEDRINE EXTRA STRENGTH (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC ACID"
Paullinia cupana,EXCEDRINE MIGRAINE (ASPIRIN-ACETAMINOPHEN-CAFFEINE)
Paullinia cupana,"EXCEDRINE (VINCENTS/00110301/) (ACETYLSALICYLIC ACID, CAFFEINE,SALICYAMIDE)"
Paullinia cupana,"EXCEDRIN EXTRA STENGTH (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC ACID,"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH        (CAFFEINE CITRATE, ACETYLSALICYLIC ACID"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH) (CAFFEINE CITRATE,"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH) (CAFFEINE CITRATE, ACETYLASLICYLIC ACID,"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH) (CAFFEINE CITRATE. ACETYLSALCYLIC ACID ,"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH)(CAFFEINE CITRATE, ACETYLSALICYIC ACID, A"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH) (CAFFEINE  CITRATE, ACETYLSALICYLIC ACID"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC ACID,"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH) CAFFEINE CITRATE, ACETYLSALICYLIC ACID,"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH)(CAFFEINE CITRATE, ACETYLSALICYLIC ACID,"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH)(CAFFEINE CITRATE,ACETYLSALICYLIC ACID, A"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH) (CAFFEINE CITRATE, ACETYLSALYLIC ACID, A"
Paullinia cupana,"EXCEDRIN EXTRA STRENGTH (NCH) (CAFFEINE CITRATE, ACETYSALICYLIC ACID,"
Paullinia cupana,"EXCEDRIN MIGRAINE (ACETALYSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN MIGRAINE (ACETAMINOPHEN, ACETYLSALICYLIC ACID, AND CAFFEINE)"
Paullinia cupana,EXCEDRIN MIGRAINE (ACETYLSALICYLIC ACID/CAFFEINE)
Paullinia cupana,"EXCEDRIN MIGRAINE (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,EXCEDRIN MIGRAINE (APAP 250MG +ASA 250MG +CAFFEINE 65MG)
Paullinia cupana,"EXCEDRIN MIGRAINE (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC ACID,  ACET"
Paullinia cupana,"EXCEDRIN MIGRAINE (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC, ACID, ACET"
Paullinia cupana,"EXCEDRIN MIGRAINE (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC ACID, ACETA"
Paullinia cupana,"EXCEDRIN MIGRAINE (NCH)(CAFFEINE CITRATE, ACETYLSALICYLIC ACID, ACETAM"
Paullinia cupana,"EXCEDRIN MIGRAINE (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC AICD, ACTEA"
Paullinia cupana,"EXCEDRIN MIGRAINE(THOMAPYRIN N)(ACETYLSALICYLIC ACID, CAFFEINE, PARACE"
Paullinia cupana,"EXCEDRIN MIGRANE (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN /USA/ (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN /USA/(ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN/USA/ (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN/USA/(ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"EXCEDRIN /USA/ (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL, SALICYLAM"
Paullinia cupana,"EXCEDRIN/USA/ (ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL, SALICYLAMI"
Paullinia cupana,"EXCEDRIN /USA/ (ACETYSALICYLIC ACID, CAFFEINE, PARACEMATOL, SALICYLAMI"
Paullinia cupana,"EXCEDRIN (VINCENTS /00110301/) (ACETYLSALICYLIC ACID, CAFFEINE, SALICYLAMIDE)"
Paullinia cupana,"EXCEDRIN (VINCENTS) (ACETYLSALICYLIC ACID, CAFFEINE, SALICYLAMIDE)"
Paullinia cupana,EXCERDRIN (ACETYOLSALICYLIC  ACID/CAFFEINE/PARACETAMOL/SALICYLAMIDE)
Paullinia cupana,"EXCERIN (VINCENTS /0110301/ (ACETYLSALICYLIC ACID, CAFFEINE, SALICYLAMIDE)"
Paullinia cupana,"EXECEDRIN MIGRAINE (CAFFEINE CITRATE, ACETYLSALICYLIC ACID, ACETAMINOP"
Paullinia cupana,"EXEDRIN EXTRA STRENGTH (NCH) (CAFFEINE CITRATE, ACETYLSALICYLIC ACID,"
Paullinia cupana,"EXEDRIN MIGRAINE        (CAFFEINE CITRATE, ACETYLSALICYLIC ACID, ACETA"
Paullinia cupana,EXIT [BROMPHENIRAMINE MALEATE;CAFFEINE;PROPYPHENAZONE;SALICYLAMIDE]
Paullinia cupana,"EZOL (BUTALBITAL, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"FEMINAX (CAFFEINE, CODEINE PHOSPHATE, HYOSCINE HYDROBROMIDE, PARACETAM"
Paullinia cupana,FIORECET/BUTALBITAL APAP CAFFEINE
Paullinia cupana,"FIORECET (BUTALBITAL, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"FIORENAL WITH CODEINE (ACETYLSALIYCILC ACID, BUTALBITAL CAFFEINE, CODE"
Paullinia cupana,"FIORICEPT W/CODEINE (FIORICET W/CODEINE) (CODEINE PHOSPHATE, CAFFEINE,"
Paullinia cupana,"FIORICET (AXOTAL /00727001/) (CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORICET (AXOTAL/ 00727001/)(CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORICET (AXOTAL) (CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORICET; AXOTAL (CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORICET (AXOTAL /OLD FORM/) (CAFFEINE, BUTABITAL PARACETAMOL)"
Paullinia cupana,"FIORICET (AXOTAL /OLD FORM/ (CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORICET (AXOTAL /OLD FORM/) (CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORICET(AXOTAL /OLD FORM/)(CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORICET (BUTALBITAL, ACETAMINOHPEN, CAFFEINE) (BUTALBITAL, ACETAMINOP"
Paullinia cupana,FIORICET/BUTALBITAL/CAFFEINE
Paullinia cupana,"FIORICET (BUTALBITAL, CAFFEINE, PARACERTAMOL)"
Paullinia cupana,FIORICET (BUTALBITAL CAFFEINE PARACETAMOL)
Paullinia cupana,"FIORICET (BUTALBITAL CAFFEINE, PARACETAMOL)"
Paullinia cupana,"FIORICET (BUTALBITAL,  CAFFEINE. PARACETAMOL)"
Paullinia cupana,"FIORICET (BUTALBITAL, CAFFEINE PARACETAMOL)"
Paullinia cupana,"FIORICET (BUTALBITAL, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"FIORICET (BUTALBITAL,CAFFEINE,PARACETAMOL)"
Paullinia cupana,"FIORICET(BUTALBITAL, CAFFEINE, PARACETAMOL)"
Paullinia cupana,"FIORICET (BUTALBITAL, CAFFEINE, PARACETAMOL) TABLET"
Paullinia cupana,"FIORICET (BUTALBITAL, CAFFEINE, PHARACETAMOL)"
Paullinia cupana,"FIORICET (CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,FIORICET/CAFFEINE/CODEINE
Paullinia cupana,"FIORICET (FIORICET WITH CODEINE) (CODEINE PHOSPHATE, CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORICET (PARACETAMOL, BUTALBITAL, CAFFEINE)"
Paullinia cupana,"FIORICET (PARACETAMOL,CAFFEINE,BUTALBITAL)"
Paullinia cupana,"FIORICET W/CODEINE (BUTALBITAL, CAFFEINE, CODEINE PHOSPHATE, PARACETAM"
Paullinia cupana,"FIORICET W/CODEINE (BUTALBITAL, CAFFEINE, CODEINE PHOSPHATE, PARACETAMOL)"
Paullinia cupana,FIORICET W/CODEINE (BUTALBITAL/CAFFEINE/CODEINE PHOSPHATE/PARACETAMOL)
Paullinia cupana,"FIORICET W/ CODEINE (FIORICET W/ CODEINE) (CODEINE PHOSPHATE, CAFFEINE"
Paullinia cupana,"FIORICET WITH CODEINE (BUTALBITAL, CAFFEINE, CODEINE PHOSPHATE, PARACE"
Paullinia cupana,"FIORICET WITH CODEINE (BUTALBITAL, CAFFEINE, CODEINE PHOSPHATE, PARACETAMOL)"
Paullinia cupana,"FIORICET WITH CODEINE (CODEINE PHOSPHATE, CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORICET WITH CODEINE (FIORICET WITH CODEINE) (CODEINE PHOSPHATE, CAFFEINE,BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FIORINAL /00090401/ (ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, PHENA"
Paullinia cupana,"FIORINAL /01000501/ (ACETYLSALICYLIC ACID, BUTALIBITAL, CAFFEINE)"
Paullinia cupana,"FIORINAL (ACETYLSALICYCLIC ACID, CAFFEINE, BUTALBITAL)"
Paullinia cupana,"FIORINAL (ACETYL SALICYLCI ACID, BUTALBITAL, CAFFEINE)"
Paullinia cupana,"FIORINAL (ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE)"
Paullinia cupana,"FIORINAL [ACETYLSALICYLIC ACID,BUTALBITAL,CAFFEINE]"
Paullinia cupana,"FIORINAL (ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, PHENACETIN)"
Paullinia cupana,"FIORINAL [ACETYLSALICYLIC ACID,BUTALBITAL,CAFFEINE,PHENACETIN]"
Paullinia cupana,FIORINAL [ACETYLSALICYLIC ACID;BUTALBITAL;CAFFEINE;PHENACETIN]
Paullinia cupana,"FIORINAL/(ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, PHENACETIN)"
Paullinia cupana,"FIORINAL (ACETYLSALICYLIC ACID, CAFFEINE, BUTALBITAL)"
Paullinia cupana,FIORINAL [ACETYLSALICYLIC ACID;CAFFEINE;PARACETAMOL]
Paullinia cupana,FIORINAL -ASPIRINE/BUTALBITAL/CAFFEINE-
Paullinia cupana,FIORINAL (BUTALBITAL+ASA+CAFFEINE)
Paullinia cupana,"FIORINAL (BUTALBITAL, CAFFEINE, ACETYLSALICYLIC ACID)"
Paullinia cupana,"FIORINAL (BUTALBITAL W/ASPIRIN, CAFFEINE) (ACETYLSALICYLIC ACID, CAFFE"
Paullinia cupana,"FIORINAL (CAFFEINE, BUTALBITAL, ACETYLSALICYLIC ACID)"
Paullinia cupana,"FIORINAL WITH CODEINE (ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, COD"
Paullinia cupana,FIORINAL WITH CODEINE (ACETYLSALICYLIC ACID/BUTALBITAL/CAFFEINE/CODEIN
Paullinia cupana,"FIORINAL WITH CODEINE(ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, CODEINE PHOSPHATE, PHENACETIN)"
Paullinia cupana,"FIORNAL (ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE)"
Paullinia cupana,FIOROCET WITH CAFFEINE
Paullinia cupana,FLORINAL [ASPIRIN\BUTALBITAL\CAFFEINE\PHENACETIN]
Paullinia cupana,"FLORINAL WITH CODEINE (ACETYLSALICYLIC ACID, BUTALBITAL, CAFFEINE, COD"
Paullinia cupana,"FRESUBIN [CAFFEINE;CARBOHYDRATES NOS;FATS NOS;FIBRE, DIETARY;MINERALS"
Paullinia cupana,"FURICET (CAFFEINE, BUTALBITAL, PARACETAMOL)"
Paullinia cupana,"FURINOL (ACETYLSALICYLIC ACID, CAFFEINE, BUTALBITAL)"
Paullinia cupana,GARCINIA / GREEN COFFEE BEAN / CAFFEINE ANHYDROSE 500/500/200
Paullinia cupana,"GENTIL (CAFFEINE, ETHAVERINE, PARACETAMOL, PROPYPHENAZONE, SALICYLAMIDE)"
Paullinia cupana,"GOODY POWDER(THOMAPYRIN N)(ACETYLSALICYLIC ACID, CAFFEINE, PARACETAMOL"
Paullinia cupana,"GOODYS (ACETYLSALICYLIC ACID /CAFFEINE/PARACETAMOL, POWDER)"
Paullinia cupana,GRAVERGOL (CAFFEINE/DIMENHYDRINATE/ERGOTAMINE TARTRATE)
Paullinia cupana,GRIPPOSTAD (ACETAMINOPHEN\ASCORBIC ACID\CAFFEINE\CHLORPHENIRAMINE MALEATE)
Paullinia cupana,GRIPPOSTAD (CAFFEINE\DIPHENHYDRAMINE\HEXETYLAMINE\PROPYPHENAZONE\SALICYLAMIDE)
Paullinia cupana,"GRIPPOSTAD (CAFFEINE, DIPHENHYDRAMINE HYDROCHLORIDE, HEXETYLAMINE CITRATE, PROPYPHENAZONE, SALICYLAMIDE)"
Paullinia cupana,GURONSAN (ASCORBIC ACID (+) CAFFEINE (+) GLUCURONAMIDE)
Paullinia cupana,"GURONSAN (ASCORBIC ACID, CAFFEINE, GLUCURONAMIDE)"
Paullinia cupana,GURONSAN (ASCORBIC ACID\CAFFEINE\GLUCURONAMIDE)
Paullinia cupana,HEMICRANEAL (ACETAMINOPHEN\BELLADONNA EXTRACT\CAFFEINE\ERGOTAMINE TARTRATE)
Paullinia cupana,HEMICRANEAL (ACETAMINOPHEN (+) CAFFEINE (+) ERGOTAMINE TARTRATE)
Paullinia cupana,HEMICRANEAL (ACETAMINOPHEN\CAFFEINE\ERGOTAMINE TARTRATE)
Paullinia cupana,HEMICRANEAL (CAFFEINE\ERGOTAMINE TARTRATE\PARACETAMOL)
Paullinia cupana,HEMICRANEAL [CAFFEINE;ERGOTAMINE TARTRATE;PARACETAMOL]
Paullinia cupana,"HYDANTOL F (PEHNOBARBITAL, PHENYTOIN, CAFFEINE AND SODIUM BENZOATE)"
Paullinia cupana,"HYDANTOL F (PHENYTOIN, PHENOBARBITAL, CAFFEINE AND SODIUM BENZOATE)"
Paullinia cupana,HYDROXYCUT CAFFEINE FREE 160MG PRO CLINICAL IOVATE HEALTH SCIENCES USA
Paullinia cupana,ILVICO [ASCORBIC ACID;BROMPHENIRAMINE MALEATE;CAFFEINE;PROPYPHENAZONE;
Paullinia cupana,INDOMETHACIN + CAFFEINE + PROCHLORPERAZINE
Paullinia cupana,INDOMETHACIN+CAFFEINE+PROCHLORPERAZINE (INDOMETHACIN+CAFFEINE+PROCHLORPERAZINE)
Paullinia cupana,INFRALAX (PARACETAMOL + CAFFEINE + CARISOPRODOL+ DICLOFENAC SODIUM)
Paullinia cupana,"ISOCET (BUTALBITAL, CAFFEINE, PARACETAMOL)"
Paullinia cupana,ISOMETHEPTENE-CAFFEINE-ACETAMINOPHEN
Paullinia cupana,ISOMETHEPTENE-CAFFEINE-APAP
Paullinia cupana,"ISOMETHEPTENE MUCATE, CAFFEINE AND ACETAMINOP"
Paullinia cupana,IV CAFFEINE
Paullinia cupana,"KAIGEN (CAFFEINE, CINNAMON, GLYCYRRHIZA EXTRACT, METHYLEPHEDRINE HYDRO"
Paullinia cupana,"KANEURON (PHENIBARBITAL, CAFFEINE, CRATAEGUS LAEVIGATA EXTRACT, PASSIF"
Paullinia cupana,"KODAMID (CAFFEINE, CODEINE PHOSPHATE, ETHALLOBARBITAL, OXPHENISATINE,"
Paullinia cupana,"KODAMID (CAFFEINE, PHOSPHATE, ETHALLOBARBITAL, OXYPHENISATINE, PROPYPH"
Paullinia cupana,KYORIN-AP (SIMETRIDE/ANHYDROUS CAFFEINE)
Paullinia cupana,"LAMALINE /00764901/ (LAMALINE CAFFEINE, PARACETAMOL, ATROPA BELLADONNA EXTRACT, PAPAVER SOMNIFERUM TINCTURE)"
Paullinia cupana,LAMALINE (ACETAMINOPHEN\BELLADONNA LEAF\CAFFEINE\OPIUM)
Paullinia cupana,LAMALINE (ACETAMINOPHEN/CAFFEINE/OPIUM)
Paullinia cupana,LAMALINE (ACETAMINOPHEN\CAFFEINE\OPIUM)
Paullinia cupana,LAMALINE (ATROPA BELLADONNA + CAFFEINE + PAPAVER SOMNIFERUM + PARACETA
Paullinia cupana,"LAMALINE (ATROPA BELLADONNA EXTRACT, CAFFEINE, PAPAVER SOMNIFERUM TINCTURE, PARACETAMOL)"
Paullinia cupana,LAMALINE (ATROPA BELLADONNA EXTRACT/CAFFEINE/PAPAVER SOMNIFERUM TINCTURE/PARACETAMOL)
Paullinia cupana,LAMALINE (ATROPA BELLADONNA EXTRACT\CAFFEINE\PAPAVER SOMNIFERUM TINCTURE\PARACETAMOL)
Paullinia cupana,"LAMALINE (BEALLADONA EXTRACT, CAFFEINE, OPIUM TINCTURE, PARACETAMOL)"
Paullinia cupana,"LAMALINE (BELLADONNA EXTRACT, CAFFEINE, OPIUM TINCTURE, PARACETAMOL)"
Paullinia cupana,"LAMALINE (BELLADONNA EXTRACT/CAFFEINE/OPIUM TINCTURE/PARACETAMOL, )"
Paullinia cupana,LAMALINE (BELLADONNA EXTRACT/CAFFEINE/OPIUM TINCTURE/PARACETAMOL)
Paullinia cupana,"LAMALINE (BELLADONNA EXTRACT/CAFFEINE/OPIUM TINCTURE/PARACETAMOL, , 0)"
Paullinia cupana,"LAMALINE (BELLADONNA EXTRACT/CAFFEINE/OPIUM TINCTURE/PARACETAMOL, 0)"
Paullinia cupana,"LAMALINE, CACHET [ATROPA BELLADONNA EXTRACT/CAFFEINE/PAPAVER SOMNIFERUM TINCTURE/PARACETAMOL]"
Paullinia cupana,LAMALINE [CAFFEINE/OPIUM/PARACETAMOL]
Paullinia cupana,LAMALINE [CAFFEINE;PAPAVER SOMNIFERUM LATEX;P
Paullinia cupana,"LAMALINE (CAFFEINE, PAPAVER SOMNIFERUM LATEX, PARACETAMOL)"
Paullinia cupana,LAMALINE (CAFFEINE/PAPAVER SOMNIFERUM LATEX/PARACETAMOL)
Paullinia cupana,"LAMALINE [CAFFEINE,PAPAVER SOMNIFERUM LATEX,PARACETAMOL]"
Paullinia cupana,LAMALINE [CAFFEINE;PAPAVER SOMNIFERUM LATEX;PARACETAMOL]
Paullinia cupana,LAMALINE (CAFFEINE + PAPAVER SOMNIFERUM + PARACETAMOL)
Paullinia cupana,LAMALINE (CAFFEINE\PARACETAMOL\ATROPA BELLADONNA EXTRACT\PAPAVER SOMNIFERUM TINCTURE)
Paullinia cupana,"LAMALINE CAFFEINE, PARACETAMOL, ATROPA BELLADONNA, PAPAVER SOMNIFERM"
Paullinia cupana,"LAMALINE (CAFFEINE, PARACETAMOL, BELLADONNA EXTRACT, OPIUM TINCTURE)"
Paullinia cupana,"LAMALINE (CAFFEINE, PARACETAMOL, PAPAVER SOMNIFERUM LATEX)"
Paullinia cupana,"LAMALINE (FRANCE) (CAFFEINE, OPIUM TINCTURE, PARACETAMOL)"
Paullinia cupana,"LAMALINE (LAMALINE) (UNKNOWN) (CAFFEINE, PARACETAMOL, ATROPA BELLADONNA EXTRACT, PAPAVER SOMNIFERUM TINCTURE)"
