FAERS_drug_match,lookup_value,indi_pt
HYPERICUM PERFORATUM,St. Johns-wort,Analgesic therapy
HYPERICUM PERFORATUM,St. Johns-wort,Arthralgia
HYPERICUM PERFORATUM,St. Johns-wort,Ill-defined disorder
HYPERICUM PERFORATUM,St. Johns-wort,Drug use for unknown indication
HYPERICUM PERFORATUM HERB,St. Johns-wort,
HYPERICUM PERFORATUM (HYPERCIUM PERFORATUM),St. Johns-wort,
HYPERICUM PERFORATUM              (HYPERICUM PERFORATUM),St. Johns-wort,
HYPERICUM PERFORATUM            (HYPERICUM PERFORATUM),St. Johns-wort,
HYPERICUM PERFORATUM (HYPERICUM PERFORATUM),St. Johns-wort,Drug use for unknown indication
HYPERICUM PERFORATUM/HYPERICUM PERFORATUM DRY EXTRA/HYPERICUM PERFORATUM EXTRACT/HYPERICUM PERFORATU,St. Johns-wort,
HYPERICUM PERFORATUM (NGX) (HYPERICUM PERFORATUM),St. Johns-wort,Depression
HYPERICUM PERFORATUM (NGX) (HYPERICUM PERFORATUM) UNKNOWN,St. Johns-wort,
HYPERICUM PERFORATUM / ST JOHN'S WORT (EPS 112),St. Johns-wort,Antidepressant therapy
HYPERNICUM PERFORATUM (HYPERICUM PERFORATUM),St. Johns-wort,
JARSIN [HYPERICUM PERFORATUM EXTRACT],St. Johns-wort,Product used for unknown indication
JARSIN//HYPERICUM PERFORATUM EXTRACT,St. Johns-wort,Depression
LAIF 900 (HYPERICUM PERFORATUM),St. Johns-wort,
LAIF (HYPERICUM PERFORATUM),St. Johns-wort,Depression
MOVINA (HYPERICUM PERFORATUM),St. Johns-wort,
ST JOHN'S WART (HYPERICUM PERFORATUM),St. Johns-wort,
ST JOHNS WART (HYPERICUM PERFORATUM),St. Johns-wort,
ST. JOHN'S WART (HYPERICUM PERFORATUM),St. Johns-wort,
ST. JOHNS WART (HYPERICUM PERFORATUM),St. Johns-wort,
ST. JOHN'S WORK (HYPERICUM PERFORATUM),St. Johns-wort,Drug use for unknown indication
ST. JOHN'S WORT ^HERRON^ (HYPERICUM PERFORATUM),St. Johns-wort,
ST JOHN'S WORT () HYPERICUM PERFORATUM,St. Johns-wort,
ST JOHN'S WORT (HYPERICUM PERFORATUM),St. Johns-wort,Depression
ST JOHNS WORT (HYPERICUM PERFORATUM),St. Johns-wort,
"ST. JOHN'S WORT (HYPERICUM PERFORATUM,)",St. Johns-wort,
ST. JOHN'S WORT (HYPERICUM PERFORATUM),St. Johns-wort,
ST. JOHNS WORT (HYPERICUM PERFORATUM),St. Johns-wort,
"ST. JOHN'S WORT (HYPERICUM PERFORATUM) (333 MILLIGRAM, CAPSULES) (HYPE",St. Johns-wort,
ST. JOHN'S WORT (HYPERICUM PERFORATUM) (UNKNOWN),St. Johns-wort,
ST JOHN WORT (HYPERICUM PERFORATUM),St. Johns-wort,
HIGH DOSE OF ST. JOHN'S WORT,St. Johns-wort,
HYPERICUM (ST. JOHN'S WORT),St. Johns-wort,
"PROSTAID PLUS (FLAX, SAW PALMETTO, ST. JOHN'S WORT, ELDER, CALENDULA",St. Johns-wort,
ST. JOHN'S WORT,St. Johns-wort,Product used for unknown indication
ST. JOHN'S WORT,St. Johns-wort,Supplementation therapy
ST. JOHN'S WORT,St. Johns-wort,Feeling of relaxation
ST. JOHN'S WORT,St. Johns-wort,Depression
ST. JOHN'S WORT,St. Johns-wort,Sleep disorder
ST. JOHN'S WORT,St. Johns-wort,Insomnia
ST. JOHN'S WORT,St. Johns-wort,Affective disorder
ST. JOHN'S WORT,St. Johns-wort,Anxiety disorder
ST. JOHN'S WORT,St. Johns-wort,Seasonal affective disorder
ST. JOHN'S WORT,St. Johns-wort,Routine health maintenance
ST. JOHN'S WORT,St. Johns-wort,Sciatica
ST. JOHN'S WORT,St. Johns-wort,Burnout syndrome
ST. JOHN'S WORT,St. Johns-wort,Cough
ST. JOHN'S WORT,St. Johns-wort,Anxiety
ST. JOHN'S WORT,St. Johns-wort,Drug withdrawal syndrome
ST. JOHN'S WORT,St. Johns-wort,Withdrawal syndrome
ST. JOHN'S WORT,St. Johns-wort,Depressive symptom
ST. JOHN'S WORT,St. Johns-wort,Mental disorder
ST. JOHN'S WORT,St. Johns-wort,Arthropathy
ST. JOHN'S WORT,St. Johns-wort,Cardiac disorder
ST. JOHN'S WORT,St. Johns-wort,Depressed mood
ST. JOHN'S WORT,St. Johns-wort,Drug use for unknown indication
ST. JOHN'S WORT,St. Johns-wort,Social phobia
ST. JOHN'S WORT,St. Johns-wort,Vitamin supplementation
ST. JOHN'S WORT,St. Johns-wort,Stress
ST. JOHN'S WORT,St. Johns-wort,Mood altered
ST. JOHN'S WORT,St. Johns-wort,Hormone therapy
ST. JOHN'S WORT                    /01166801/,St. Johns-wort,Medical diet
ST. JOHN'S WORT                    /01166801/,St. Johns-wort,Product used for unknown indication
ST. JOHN'S WORT                    /01166801/,St. Johns-wort,Anxiety disorder
ST. JOHN'S WORT                    /01166801/,St. Johns-wort,Phytotherapy
ST. JOHN'S WORT                    /01166801/,St. Johns-wort,Major depression
ST. JOHN'S WORT                    /01166801/,St. Johns-wort,Depression
ST. JOHN'S WORT                    /01166801/,St. Johns-wort,Affective disorder
ST. JOHN'S WORT /01166801/,St. Johns-wort,Product used for unknown indication
ST. JOHN'S WORT 300 MG,St. Johns-wort,
ST. JOHN'S WORT 300 MG GARDEN STATE NUTRITIONALS,St. Johns-wort,
ST. JOHN'S WORT (CENTRUM HERBALS ST JOHNS WORT),St. Johns-wort,
ST. JOHN'S WORTH,St. Johns-wort,
ST. JOHN'S WORT PELLETS,St. Johns-wort,
ST. JOHN'S WORT  (ST. JOHN'S WORT),St. Johns-wort,
ST. JOHN'S WORT (ST. JOHN^S WORT),St. Johns-wort,
ST. JOHN'S WORT (ST. JOHN'S WORT),St. Johns-wort,Migraine
ANGELICA AND BITTER CANDYTUFT AND CARAWAY AND CELANDINE AND CHAMOMILE,Swallowwort,
"BREATH FREE (ANGELICA, BUCKTHORN, CELANDINE, ROSEMARY, CENTUARY, SPEEDWELL, WILD PLUM)",Swallowwort,
CELANDINE,Swallowwort,Post cholecystectomy syndrome
CELANDINE EXTRACT,Swallowwort,
"ALOE FEROX EXTRACT, CHELIDONINE, CURCUMA LONGA RHIZOME, PANCREATIN, SI",Swallowwort,Product used for unknown indication
CHELIDONINE,Swallowwort,Dyspepsia
CHELIDONINE (CHELIDONINE),Swallowwort,Dyspepsia
ESSAVEN [AESCULUS HIPPOCASTANUM EXTRACT;CHELIDONINE;CRATAEGUS LAEVIGAT,Swallowwort,Product used for unknown indication
CHELIDONIUM MAJUS,Swallowwort,Therapeutic embolisation
CHELIDONIUM MAJUS,Swallowwort,Product used for unknown indication
CHELIDONIUM MAJUS 2X,Swallowwort,
CHELIDONIUM MAJUS/CHELIDONIUM MAJUS EXTRACT,Swallowwort,Product used for unknown indication
"CHELIDONIUM MAJUS\CONDURANGO\ECHINACEA, UNSPECIFIED\LYCOPODIUM CLAVATUM SPORE",Swallowwort,
"CHOLAGOGUM (CHOLAGOGUM - CHELIDONIUM MAJUS EXTRACT, CURCUMA LONGA RHIZOME, MENTHA X PIPERITA TINCTURE, SPINACIA ) (NOT SPECIFIED)",Swallowwort,Product used for unknown indication
ANGELICA SINENSIS,Tang-kuei,Tinnitus
ANGELICA SINENSIS,Tang-kuei,Vertigo
ANGELICA SINENSIS,Tang-kuei,Menopausal symptoms
ANGELICA SINENSIS,Tang-kuei,Product used for unknown indication
ANGELICA SINENSIS,Tang-kuei,Liver disorder
"CHINESE LOVAGE AND CHINESE PEONY AND DONG QUAI AND REHMANNIA, COOKED",Tang-kuei,
DONG QUAI,Tang-kuei,Product used for unknown indication
DONG QUAI,Tang-kuei,Vitamin supplementation
DONG QUAI,Tang-kuei,Ill-defined disorder
DONG QUAI,Tang-kuei,Drug use for unknown indication
DONG QUAI                          /01667701/,Tang-kuei,Product used for unknown indication
DONG QUAI COMPLEX,Tang-kuei,Product used for unknown indication
DONG QUAI COMPLEX,Tang-kuei,Oestrogen replacement therapy
DONG QUAI COMPLEX,Tang-kuei,Medical diet
"DONG QUAI COMPLEX (ANGELICA ACUTILOBA, ANGELICA ARCHANGELICA ROOT, ANG",Tang-kuei,
DONG QUAI ROOT,Tang-kuei,Product used for unknown indication
"ADRENAL HEALTH (BRAND) = (SIBERIAN RHODIOLA, RHODIOLA, HOLY BASIL, SCHISANDRA BERRY, ASHWAGANDHA ROOT) PHOSPHORYLATED SERINE",Tulsi,
HOLY BASIL,Tulsi,Nutritional supplementation
HOLY BASIL,Tulsi,Product used for unknown indication
HOLY BASIL,Tulsi,Anxiety
HOLY BASIL,Tulsi,Depression
HOLY BASIL,Tulsi,Supplementation therapy
HOLY BASIL,Tulsi,Inflammation
HOLY BASIL,Tulsi,Psoriasis
HOLY BASIL (HERBAL),Tulsi,
HOLY BASIL HERBAL TEAS,Tulsi,
HOLY BASIL SAM-E,Tulsi,
HOLY BASIL SUPPLEMENTS,Tulsi,
HOLY BASIL/TULSI,Tulsi,
LEMON BALM + HOLY BASIL,Tulsi,
TULSI,Tulsi,
TULSI                              /06600001/,Tulsi,Product used for unknown indication
BALLOTA NIGRA EXTRACT/COLA NITIDA/COLA NITIDA LEAF/CRATAEGUS LAEVIGATA EXTRACT/PASSIFLORA INCARNATA,Woodland hawthorn,
CONVALLARIA MAJALIS\CRATAEGUS LAEVIGATA LEAF\PROXYPHYLLINE,Woodland hawthorn,
CONVALLARIA MAJALIS/CRATAEGUS LAEVIGATA/PROXYPHYLLINE,Woodland hawthorn,Product used for unknown indication
CONVALLARIA MAJALIS/CRATAEGUS LAEVIGATA/PROXYPHYLLINE,Woodland hawthorn,Drug use for unknown indication
CONVALLARIA MAJALIS W/CRATAEGUS LAEVIGATA/PRO,Woodland hawthorn,Product used for unknown indication
CRATAEGUS LAEVIGATA,Woodland hawthorn,Product used for unknown indication
CRATAEGUS LAEVIGATA,Woodland hawthorn,Cardiac disorder
CRATAEGUS LAEVIGATA,Woodland hawthorn,Cardiac failure
CRATAEGUS LAEVIGATA (CRATAEGUS LAEVIGATA),Woodland hawthorn,
CRATAEGUS LAEVIGATA/PROXYPHYLLINE/CONVALLARIA MAJALIS,Woodland hawthorn,Product used for unknown indication
CRATAEGUTT (CRATAEGUS LAEVITGATA) (CRATAEGUS LAEVIGATA),Woodland hawthorn,
CRATAEGUTT NOVO 450 (CRATAEGUS LAEVIGATA EXTRACT),Woodland hawthorn,
CRATAEUGUTT (CRATAEGUS LAEVIGATA EXTRACT),Woodland hawthorn,
EUPHYTOSE [BALLOTA NIGRA;CRATAEGUS LAEVIGATA;,Woodland hawthorn,Product used for unknown indication
"EUPHYTOSE (TABLET) (VALERIANA OFFICINALIS EXTRACT, CRATAEGUS LAEVIGATA",Woodland hawthorn,
FAROS (CRATAEGUS LAEVIGATA EXTRACT),Woodland hawthorn,
FAROS [CRATAEGUS LAEVIGATA EXTRACT],Woodland hawthorn,
"HAWTHORN BERRY (CRATAEGUS LAEVIGATA, CRATAEGUS OXYACANTHA)",Woodland hawthorn,
HAWTHORN [CRATAEGUS LAEVIGATA],Woodland hawthorn,Product used for unknown indication
"KANEURON (PHENIBARBITAL, CAFFEINE, CRATAEGUS LAEVIGATA EXTRACT, PASSIF",Woodland hawthorn,Product used for unknown indication
KORODIN [CAMPHOR;CONVALLARIA MAJALIS TINCTURE;CRATAEGUS LAEVIGATA EXTR,Woodland hawthorn,Circulatory collapse
KORODIN [CAMPHOR;CONVALLARIA MAJALIS TINCTURE;CRATAEGUS LAEVIGATA EXTR,Woodland hawthorn,Dizziness
"OMEGA /AUT/(PROXYPHYLLINE, CRATAEGUS LAEVIGATA, CONVALLARIA MAJALIS)",Woodland hawthorn,
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXPHYLLINE)",Woodland hawthorn,Supplementation therapy
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXYPHEYLLINE)",Woodland hawthorn,
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXYPHYLINE)",Woodland hawthorn,
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXYPHYLLINE)",Woodland hawthorn,Supplementation therapy
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXYPHYLLINE)",Woodland hawthorn,Product used for unknown indication
"OMEGA (CONVALLARIA MAJALIS, CRATAEGUS LAEVIGATA, PROXYPHYLLINE)",Woodland hawthorn,Hypertriglyceridaemia
"OMEGA [CONVALLARIA MAJALIS,CRATAEGUS LAEVIGATA,PROXYPHYLLINE]",Woodland hawthorn,
OMEGA [CONVALLARIA MAJALIS;CRATAEGUS LAEVIGATA;PROXYPHYLLINE],Woodland hawthorn,Product used for unknown indication
"OMEGA (CONVALLARIA MAJLIS, CRATAEGUS LAEVIGATA, PROXYPHYLLINE)",Woodland hawthorn,
"PRO-OMEGA (PROXYPHYLLINE, CRATAEGUS LAEVIGATA, CONVALLARIA MAJALIS)",Woodland hawthorn,
"VAGOSTABYL (CALCIUM LACTATE, CRATAEGUS LAEVIGATA, MELISSA OFFICINALIS",Woodland hawthorn,
VALERIANA OFFICINALIS EXTRACT AND CRATAEGUS LAEVIGATA EXTRACT AND BALL,Woodland hawthorn,Anxiety
DEVIL'S CLAW,Wood spider,Arthralgia
DEVIL'S CLAW,Wood spider,Product used for unknown indication
DEVIL'S CLAW,Wood spider,Antiinflammatory therapy
DEVIL'S CLAW,Wood spider,Arthropathy
DEVIL'S CLAW,Wood spider,Myalgia
DEVIL'S CLAW,Wood spider,Pain
DEVIL'S CLAW,Wood spider,Arthritis
DEVIL'S CLAW,Wood spider,Spinal osteoarthritis
DEVIL'S CLAW,Wood spider,Osteoarthritis
DEVIL'S CLAW,Wood spider,Drug use for unknown indication
DEVIL'S CLAW                       /01064501/,Wood spider,
DEVIL'S CLAW CAP,Wood spider,
DEVIL'S CLAW (HARPAGOPHYTUM PROCUMBENS),Wood spider,
DEVIL'S CLAW [HARPAGOPHYTUM PROCUMBENS],Wood spider,
DEVIL'S CLAW [HARPAGOPHYTUM PROCUMBENS ROOT],Wood spider,Product used for unknown indication
DEVIL'S CLAW ROOT,Wood spider,
HARPAGOPHYUM PROCUMBENS (DEVIL'S CLAW),Wood spider,
COPPER/GLYCINE MAX/HARPAGOPHYTUM PROCUMBENS/LYSINE/MANGANESE/PANTOTHEN,Wood spider,
DEVILS CLAW (HARPAGOPHYTUM PROCUMBENS),Wood spider,Arthralgia
GREEN-LIPPED MUSSEL (HARPAGOPHYTUM PROCUMBENS W/HERBAL EXTRACT NOS),Wood spider,
HARPAGESIC (HARPAGOPHYTUM PROCUMBENS),Wood spider,
HARPAGOPHYTUM PROCUMBENS,Wood spider,Pain
HARPAGOPHYTUM PROCUMBENS,Wood spider,Arthritis
HARPAGOPHYTUM PROCUMBENS,Wood spider,Prophylaxis
HARPAGOPHYTUM PROCUMBENS,Wood spider,Product used for unknown indication
HARPAGOPHYTUM PROCUMBENS,Wood spider,Osteoarthritis
HARPAGOPHYTUM PROCUMBENS,Wood spider,Headache
HARPAGOPHYTUM PROCUMBENS,Wood spider,Rheumatic disorder
HARPAGOPHYTUM PROCUMBENS,Wood spider,Arthralgia
HARPAGOPHYTUM PROCUMBENS,Wood spider,Arthropathy
HARPAGOPHYTUM PROCUMBENS,Wood spider,Drug use for unknown indication
HARPAGOPHYTUM PROCUMBENS,Wood spider,Analgesic therapy
HARPAGOPHYTUM PROCUMBENS EXTRACT,Wood spider,Arthritis
HARPAGOPHYTUM PROCUMBENS (HARPAGOPHTUIM PROCUMBENS),Wood spider,
HARPAGOPHYTUM PROCUMBENS  (HARPAGOPHYTUM PROCUMBENS),Wood spider,
HARPAGOPHYTUM PROCUMBENS (NGX),Wood spider,Product used for unknown indication
HARPAGOPHYTUM PROCUMBENS ROOT,Wood spider,Product used for unknown indication
HARPAGOPHYTUM PROCUMBENS ROOT,Wood spider,Polyarthritis
HARPAGOPHYTUM PRTOCUMBENS (HARPAGOPHYTUM PROCUMBENS),Wood spider,
ASHWAGANDA,Ashwaganda,Stress
ASHWAGANDA,Ashwaganda,Product used for unknown indication
INDIAN GINSENG,Ashwaganda,Prophylaxis
ASHAAGHANDA,Ashwaganda,
ASHAWAGANDA,Ashwaganda,
ASHUAGANDA,Ashwaganda,Phytotherapy
ASHWAGAN,Ashwaganda,
ASH WAGANDA,Ashwaganda,
ASHWAGHANDA,Ashwaganda,
ASHWAGNANDHA,Ashwaganda,
ASHWANDA,Ashwaganda,
ASJWAGAMDA,Ashwaganda,
ASWAGANDA,Ashwaganda,
ASHWAGANDA HERB,Ashwaganda,
ASHWAGANDA ROOT,Ashwaganda,
ASHWAGANDHA ROOT,Ashwaganda,
ASHGWANDA,Ashwaganda,
ASHWANAGHANDA,Ashwaganda,
ASHWANGDHA,Ashwaganda,
AUHWANGA,Ashwaganda,Phytotherapy
ASHGAWANDA ROOT,Ashwaganda,
ASHWAGHANDO ROOT,Ashwaganda,
BUTCHER'SBROOM,Butcher's-broom,
BUTCHERS BROOM,Butcher's-broom,Product used for unknown indication
BUTCHERS BROOM,Butcher's-broom,Postural orthostatic tachycardia syndrome
CAF'S CLAW,Cat's-claw,
CATSCLAW,Cat's-claw,Drug use for unknown indication
CATSCLAW,Cat's-claw,Decreased immune responsiveness
CATS CLAW,Cat's-claw,Routine health maintenance
CATS CLAW,Cat's-claw,Product used for unknown indication
CATS CLAW,Cat's-claw,Prophylaxis
CAT CLAW,Cat's-claw,
CAT CLAW HERB,Cat's-claw,
CATS CLAW BARK,Cat's-claw,
UNA DE GATO HERB,Cat's-claw,Immune system disorder
CASSIA,Cinnamon,Product used for unknown indication
CASSIA,Cinnamon,Constipation
CASSIA,Cinnamon,Functional gastrointestinal disorder
CASSIA,Cinnamon,Weight decreased
CASSIA,Cinnamon,Gastrointestinal disorder
CASSIA,Cinnamon,Ill-defined disorder
CASSIA (CINNAMON),Cinnamon,
CINAMMOMUM VERUM,Cinnamon,
CIMMAMON,Cinnamon,Supplementation therapy
CIMNAMON,Cinnamon,
CINAIMON,Cinnamon,Dyspepsia
CINAIMON,Cinnamon,Type 2 diabetes mellitus
CINAMIN,Cinnamon,Diabetes mellitus
CINAMMN,Cinnamon,
CINAMMON,Cinnamon,General physical condition abnormal
CINAMMON,Cinnamon,Diabetes mellitus
CINAMMON,Cinnamon,Supplementation therapy
CINAMMON,Cinnamon,Product used for unknown indication
CINAMMON,Cinnamon,Blood glucose
CINAMMON,Cinnamon,Drug use for unknown indication
CINAMMON,Cinnamon,Blood cholesterol
CINAMON,Cinnamon,Blood glucose abnormal
CINAMON,Cinnamon,Blood pressure abnormal
CINAMON,Cinnamon,Circulatory collapse
CINMMON,Cinnamon,
CINNAMIN,Cinnamon,Supplementation therapy
CINNAMIN,Cinnamon,Medical diet
CINNAMIN,Cinnamon,Drug use for unknown indication
CINNAMIN,Cinnamon,Diabetes mellitus
CINNAMIN,Cinnamon,Product used for unknown indication
CINNAMINT,Cinnamon,
CINNAMMON,Cinnamon,
CINNAMO,Cinnamon,
CINNAMOM,Cinnamon,
CINNAOMIN,Cinnamon,
CINNEMIN,Cinnamon,Product used for unknown indication
CINNEMON,Cinnamon,
CINNIMAN,Cinnamon,
CINNIMON,Cinnamon,
CINNIMOV,Cinnamon,
CINNMON,Cinnamon,
CINNNAMON,Cinnamon,
CINNOMON,Cinnamon,
CNNAMON,Cinnamon,
CONNAMON,Cinnamon,
CINNAMOMUM CAMPHORA,Cinnamon,
CINNAMOMUM SPP.,Cinnamon,Product used for unknown indication
CINNAMOMUM SPP.,Cinnamon,Diabetes mellitus
TRIGONELLA FOENUM-GRAECUM,Fenugreek,Product used for unknown indication
TRIGONELLA FOENUM-GRAECUM,Fenugreek,Anxiety
TRIGONELLA FOENUM-GRAECUM,Fenugreek,Depression
TRIGONELLA FOENUM-GRAECUM,Fenugreek,Supplementation therapy
FENEGREEK,Fenugreek,
FENOGREAK,Fenugreek,
FENUGREC,Fenugreek,
FENUGRENE,Fenugreek,
SENUGREEK,Fenugreek,
TRIGONELLA FOENUM-GRACEUM,Fenugreek,Product used for unknown indication
TRIGONELLA FOENUM?GRAECUM,Fenugreek,Product used for unknown indication
CHRYSANTHEMUM PARTHENIUM,Feverfew,Haematuria
CHRYSANTHEMUM PARTHENIUM,Feverfew,Product used for unknown indication
FEVER FEW,Feverfew,
FALX SEED,Flax seed,
FAXSEED,Flax seed,Drug use for unknown indication
FAX SEED,Flax seed,Product used for unknown indication
FLAK SEED,Flax seed,
FLATSEED,Flax seed,
FLEX SEED,Flax seed,
FLAXCED,Flax seed,Product used for unknown indication
GINSEND,Flax seed,
LINESEED,Flax seed,
LINEUM USITATISSIMUM,Flax seed,
LINUM USITASSIMUM,Flax seed,Menopause
FLAXOL,Flax seed,
GINEC,Ginger,Product used for unknown indication
GINER,Ginger,
ZINGIBER OFFICINALIS,Ginger,
CAMELIA SINENSIS,Green tea,Drug use for unknown indication
BLACK TEA OIL,Green tea,
GREEN TEA OIL,Green tea,
GLORANA,Guarana,Hypertension
CANNABIS INDICA,Hemp extract,Drug use for unknown indication
CANNABIS SATIVA,Hemp extract,Product used for unknown indication
CANNABIS SATIVA,Hemp extract,Arthralgia
CANNABIS SATIVA,Hemp extract,Pain
CANNABIS SATIVA,Hemp extract,Drug abuse
CANNABIS SATIVA,Hemp extract,Drug use disorder
CANNABIS SATIVA,Hemp extract,Anxiety
CANNABIS SATIVA,Hemp extract,Nausea
CANNABIS SATIVA,Hemp extract,Neuropathy peripheral
CANNABIS SATIVA,Hemp extract,Substance use
CANNABIS SATIVA,Hemp extract,Analgesic therapy
CANNABIS SATIVA,Hemp extract,Epilepsy
CANNABIS SATIVA,Hemp extract,Drug dependence
CANNABIS SATIVA,Hemp extract,Neuralgia
CANNABIS SATIVA,Hemp extract,Rheumatoid arthritis
CANNABIS SATIVA,Hemp extract,Routine health maintenance
CANNABIS SATIVA,Hemp extract,Appetite disorder
CANNABIS SATIVA,Hemp extract,Abdominal pain
CANNABIS SATIVA,Hemp extract,Stress
CANNABIS SATIVA,Hemp extract,Cancer pain
CANNABIS SATIVA,Hemp extract,Ankylosing spondylitis
CANNABIS SATIVA,Hemp extract,Feeling of relaxation
CANNABIS SATIVA,Hemp extract,Severe myoclonic epilepsy of infancy
CANNABIS SATIVA,Hemp extract,Foetal exposure during pregnancy
CANNABIS SATIVA,Hemp extract,Insomnia
CANNABIS SATIVA,Hemp extract,Off label use
CANNABIS SATIVA,Hemp extract,Suicide attempt
CANNABIS SATIVA,Hemp extract,Muscle spasms
CANNABIS SATIVA,Hemp extract,Colitis ulcerative
CANNABIS SATIVA,Hemp extract,Eating disorder
CANNABIS SATIVA,Hemp extract,Autoimmune neuropathy
CANNABIS SATIVA,Hemp extract,Fibromyalgia
CANNABIS SATIVA,Hemp extract,Systemic lupus erythematosus
CANNABIS SATIVA,Hemp extract,Depression
CANNABIS SATIVA,Hemp extract,Symptomatic treatment
CANNABIS SATIVA,Hemp extract,Muscle spasticity
CANNABIS SATIVA,Hemp extract,Sleep disorder
CANNABIS SATIVA,Hemp extract,Inflammation
CANNABIS SATIVA,Hemp extract,Nutritional supplementation
CANNABIS SATIVA,Hemp extract,Small fibre neuropathy
CANNABIS SATIVA,Hemp extract,Substance abuse
CANNABIS SATIVA,Hemp extract,Substance dependence
CANNABIS SATIVA,Hemp extract,Pain management
CANNABIS SATIVA,Hemp extract,Decreased appetite
CANNABIS SATIVA,Hemp extract,Hypoaesthesia
CANNABIS SATIVA,Hemp extract,Drug use for unknown indication
CANNABIS SATIVA,Hemp extract,Psoriatic arthropathy
HASHISH,Hemp extract,Suicide attempt
HASHISH,Hemp extract,Drug use for unknown indication
POT,Hemp extract,Product used for unknown indication
MARAJUANA,Hemp extract,Pain
MARIHUANA,Hemp extract,Product used for unknown indication
MARIHUANA,Hemp extract,Drug abuse
MARIHUANA,Hemp extract,Pain
MARIHUANA,Hemp extract,Depression
MARIHUANA,Hemp extract,Drug use for unknown indication
MARIIJUANA,Hemp extract,Product used for unknown indication
MARIJANA,Hemp extract,
MARIJAUNA,Hemp extract,
MARIJUA,Hemp extract,
MARIJUANNA,Hemp extract,Depression
MARIJUNA,Hemp extract,
MARIJUNAN,Hemp extract,
MARJUANA,Hemp extract,
CANNABIS BEDICA OLIE,Hemp extract,
"CANNABIS, INDICA",Hemp extract,
CANNABIS INDICA SMOKE,Hemp extract,
CANNABIS SATIVA FLOWER,Hemp extract,Product used for unknown indication
CANNABIS SATIVA OIL,Hemp extract,Adverse event
CANNABIS SATIVA OIL,Hemp extract,Product used for unknown indication
CANNABIS SATIVA OIL,Hemp extract,Pain
CANNABIS SATIVA OIL,Hemp extract,Prophylaxis
CANNABIS SATIVA OIL,Hemp extract,Analgesic therapy
CANNABIS SATIVA OIL,Hemp extract,Neoplasm malignant
CANNABIS SATIVA OIL,Hemp extract,Nausea
CANNABIS SATIVA OIL,Hemp extract,Vomiting
CANNABIS SATIVA OIL,Hemp extract,Epilepsy
CANNABIS SATIVA OIL,Hemp extract,Migraine
CANNABIS SATIVA OIL,Hemp extract,Intervertebral disc protrusion
CANNABIS SATIVA OIL,Hemp extract,Anxiety
CANNABIS SATIVA OIL,Hemp extract,Sleep disorder
CANNABIS SATIVA OIL,Hemp extract,Breakthrough pain
CANNABIS SATIVA OIL,Hemp extract,Insomnia
CANNABIS SATIVA OIL,Hemp extract,Supplementation therapy
CANNABIS SATIVA OIL,Hemp extract,Back pain
CANNABIS SATIVA OIL,Hemp extract,Cancer pain
CANNABIS SATIVA OIL,Hemp extract,Inflammation
CANNABIS SATIVA OIL,Hemp extract,Fibromyalgia
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Back pain
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Central nervous system lesion
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Foot fracture
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Hypoaesthesia
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Intervertebral disc protrusion
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Multiple sclerosis relapse
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Neck pain
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Oedema peripheral
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Pain in extremity
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Spinal column stenosis
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Tobacco user
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Product used for unknown indication
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Pain
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Insomnia
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Fibromyalgia
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Drug abuse
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Appetite disorder
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Substance abuse
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Anxiety
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Nausea
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,HIV peripheral neuropathy
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Abdominal pain
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Increased appetite
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Pain management
CANNABIS SATIVA SUBSP. INDICA TOP,Hemp extract,Convulsion
