FAERS_drug_match,lookup_value,indi_pt
"MERSYNDOL /OLD FORM/ (CODEINE PHOSPHATE, CAFFEINE, PARACETAMOL, DOXYLA",Guarana,
METAMIZOLE/ORPHENADRINE/CAFFEINE,Guarana,Suicide attempt
"MIDOL (ACETYLSALICYLIC ACID, CAFFEINE CINNAMEDRINE)",Guarana,
"MIDOL [ACETYLSALICYLIC ACID,CAFFEINE,CINNAMEDRINE]",Guarana,
MIDOL [ACETYLSALICYLIC ACID;CAFFEINE;CINNAMEDRINE HYDROCHLORIDE],Guarana,Product used for unknown indication
"MIDOL (ACETYLSALICYLIC ACID, CAFFEINE, CINNAMEDRINE, PHENACETIN)",Guarana,
"MIDOL [ACETYLSALICYLIC ACID,CAFFEINE,CINNAMEDRINE,PHENACETIN]",Guarana,Menorrhagia
"MIDOL [ACETYLSALICYLIC ACID,CAFFEINE,CINNAMEDRINE,PHENACETIN]",Guarana,Abdominal distension
"MIDOL [ACETYLSALICYLIC ACID,CAFFEINE,CINNAMEDRINE,PHENACETIN]",Guarana,Muscle spasms
MIDOL [ACETYLSALICYLIC ACID;CAFFEINE;CINNAMEDRINE;PHENACETIN],Guarana,Product used for unknown indication
"MIDOL [CAFFEINE,MEPYRAMINE MALEATE,PARACETAMOL]",Guarana,Menorrhagia
"MIDOL [CAFFEINE,MEPYRAMINE MALEATE,PARACETAMOL]",Guarana,Pain
"MIDOL [CAFFEINE,MEPYRAMINE MALEATE,PARACETAMOL]",Guarana,Menstrual disorder
MIDOL [CAFFEINE;MEPYRAMINE MALEATE;PARACETAMOL],Guarana,
MIGRAINE [ACETYLSALICYLIC ACID;CAFFEINE;PARACETAMOL],Guarana,Product used for unknown indication
"MIGRAINEX (CAFFEINE, PARACETAMIL, PHENYLEPHRINE HYDROCHLORIDE)",Guarana,
"MIGRAINEX (CAFFEINE, PARACETAMOL, PHENYLEPHRINE HYDROCHLORIDE)",Guarana,
"MIGRALGINE (AMYLOCAINE HYDROCHLORIDE, CAFFEINE, CODEINE, PHENAZONE)",Guarana,Headache
"MIGRALGINE (AMYLOCAINE HYDROCHLORIDE, CAFFEINE, CODEINE, PHENAZONE)",Guarana,Migraine
"MIGRALGINE (AMYLOCAINE HYDROCHLORIDE/CAFFEINE/CODEINE/PHENAZONE, )",Guarana,Migraine
MIGRALGINE NOS (ACETAMINOPHEN\CAFFEINE\CODEINE PHOSPHATE),Guarana,
MIGRANIN (CAFFEINE/CITRIC ACID/PHENAZONE),Guarana,
MIGRANOL [ATROPINE SULFATE;CAFFEINE;NICOTINIC ACID;PAPAVERINE HYDROCHL,Guarana,Migraine
"MIGRANOL (CAFFEINE, ERGOTAMINE TARTRATE, MECLIZINE HYDROCHLORIDE)",Guarana,
MIGRANOL [CAFFEINE;ERGOTAMINE TARTRATE;METAMIZOLE SODIUM],Guarana,Product used for unknown indication
MIGREN - ACETAMINOPHEN/DIHYDROERGOTAMINE/CAFFEINE,Guarana,
"MIGRIL (CAFFEINE, CYCLIZINE HYDROCHLORIDE, ERGOTAMINE TARTRATE)",Guarana,
"MIO-CITALGAN (CAFFEINE, CARISOPRODOL, PARACETAMOL, VITAMIN B NOS)",Guarana,
MIOFLEX A (ACETAMINOPEN/CAFFEINE/CARISOPRODOL/DICLOFENAC SODIUM),Guarana,Rheumatoid arthritis
"NEOCIBALENA (NCH)(CAFFEINE CITRATE, ACETYLSALICYLIC ACID, ACETAMINOPHE",Guarana,Dysmenorrhoea
"NEO-CIBALGINA (NCH)(CAFFEINE CITRATE, ACETYLSALICYLIC ACID, ACETAMINOP",Guarana,Osteoarthritis
"NEO-CIBALGIN (NCH) (CAFFEINE CITRATE, A ETYLSALICYLIC ACID, ACETAMINOP",Guarana,Headache
NEOSALDINA (CAFFEINE (+) DIPYRONE (+) ISOMETHEPTENE HYDROCHLORIDE),Guarana,
NEOSALDINA (CAFFEINE + DYPIRONE + ISOMETHEPTEN) (NEOSAL-N),Guarana,
NEOSALDINA [CAFFEINE;ISOMETHEPTENE HYDROCHLORIDE;METAMIZOLE SODIUM],Guarana,
"NEOSALDINA (CAFFEINE, ISOMETHEPTENE, METAMIZOLE SODIUM)",Guarana,Ill-defined disorder
NEOSALDINA [CAFFEINE;ISOMETHEPTENE MUCATE;METAMIZOLE SODIUM],Guarana,Headache
"NEOSALDINA (METAMIZOLE, CAFFEINE, ISOMETHEPTENE) (METAMIZOLE, CAFFEINE, ISOMETHEPTENE)",Guarana,
"NEOSALEDINA (METAMIZOLE SODIUM, ISOMETHEPTENE, CAFFEINE)",Guarana,
NEURALGIN [ACETYLSALICYLIC ACID;CAFFEINE;PARACETAMOL],Guarana,
NEURALGIN (ASPIRIN\CAFFEINE\PHENACETIN),Guarana,
"NOGESIC FORTE (ACETYLSALICYLIC ACID, CAFFEINE, ORPHENADRINE CITRATE)",Guarana,
"NORGESIC (ACETYLSALICYLIC ACID, CAFFEINE, ORPHENADINE CITRATE)",Guarana,
"NORGESIC [ACETYLSALICYLIC ACID,CAFFEINE,ORPHENADRINE CITRATE]",Guarana,Migraine
"NORGESIC [ACETYLSALICYLIC ACID,CAFFEINE,ORPHENADRINE CITRATE]",Guarana,Neck pain
NORGESIC [ACETYLSALICYLIC ACID;CAFFEINE;ORPHENADRINE CITRATE],Guarana,
NORGESIC [ACETYLSALICYLIC ACID;CAFFEINE;ORPHENADRINE CITRATE;PHENA,Guarana,
"NORGESIC (CAFFEINE,ORPHENADRINE CITRATE,PROPYPHENAZONE)",Guarana,Myalgia
"NORGESIC FORTE (ACETYLSALICYLIC ACID, CAFFEINE, ORPHENADRINE CITRATE)",Guarana,
"NORGESIC /USA/ (ACETYLSALICYLIC ACID, CAFFEINE, ORPHENADRINE CITRATE)",Guarana,
NOVALGIN (ACETAMINOPHEN (+) CAFFEINE (+) PROPYPHENAZONE),Guarana,Pain
NOVALGIN (ACETAMINOPHEN (+) CAFFEINE (+) PROPYPHENAZONE),Guarana,Product used for unknown indication
NOVALGIN (ACETAMINOPHEN (+) CAFFEINE (+) PROPYPHENAZONE),Guarana,Rib fracture
NOVALGIN (ACETAMINOPHEN (+) CAFFEINE (+) PROPYPHENAZONE),Guarana,Chest pain
NOVALGIN (ACETAMINOPHEN\CAFFEINE\PROPYPHENAZONE),Guarana,
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Product used for unknown indication
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Pain management
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Malignant neoplasm progression
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Analgesic therapy
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Back pain
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Spinal pain
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Lymphadenectomy
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Pain
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Prophylaxis
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Sciatica
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Peripheral arterial occlusive disease
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Premedication
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Neoplasm
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Ill-defined disorder
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Bone pain
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Cancer pain
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Cardiac failure congestive
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Hypertension
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Postoperative analgesia
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Osteoarthritis
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Headache
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Femur fracture
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Pulpitis dental
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Arthralgia
NOVALGIN [CAFFEINE;PARACETAMOL;PROPYPHENAZONE],Guarana,Crohn's disease
OPTALIDON [CAFFEINE\ERGOTAMINE],Guarana,
ORPHENADRINE-ASPIRIN-CAFFEINE,Guarana,
ORPHENADRINE/METAMIZOL/CAFFEINE,Guarana,
ORPHENADRINE/METAMIZOLE/CAFFEINE,Guarana,
ORPHENADRINE W/ASA/CAFFEINE,Guarana,Product used for unknown indication
"PABRON  (CAFFEINE, CARBINOXAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMID",Guarana,Ill-defined disorder
"PABRON (CAFFEINE, CARBINOXAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE",Guarana,Ill-defined disorder
"PABRON (CAFFEINE, CARBINOXAMINE MALEATE, DEXTROMETHORPHAN HYDROBROMIDE",Guarana,Nasopharyngitis
"PABRON S (SALICYLAMIDE, ACETAMINOPHEN, ANHYDROUS CAFFEINE, ETC)",Guarana,Nasopharyngitis
PA [CAFFEINE;PARACETAMOL;PROMETHAZINE METHYLENE DISALICYLATE;SALIC,Guarana,Nasopharyngitis
"PA (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE, SALICY",Guarana,
PA (CAFFEINE/PARACETAMOL/PROMETHAZINE METHYLENE DISALICYLATE/SALICYLAM,Guarana,Nasopharyngitis
"PA (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALI",Guarana,
PAIN RELIEF WITH CAFFEINE,Guarana,Maternal exposure during pregnancy
"PALGIN (AMINOPHENAZONE, CAFFEINE, GUARANA, PHENACETIN, PHENAZONE)",Guarana,
PANADEINE (ACETAMINOPHEN (+) CAFFEINE (+) CODEINE PHOSPHATE),Guarana,
PANADOL FORTE [CAFFEINE;PARACETAMOL],Guarana,Premedication
PANADOL FORTE [CAFFEINE;PARACETAMOL],Guarana,Migraine
"PANLOR DC                (CAFFEINE, DIHYDROCODEINE BITARTRATE, PARACET",Guarana,
"PANLOR DC (CAFFEINE, DIHYDROCODEINE BITARTRATE, PARACETAMOL)",Guarana,
"PANLOR SS (CAFFEINE, DIHYDROCODEINE BITARTRATE, PARACETAMOL)",Guarana,
PANPYRIN [ACETAMINOPHEN\CAFFEINE\CHLORPHENIRAMINE\ETHENZAMIDE],Guarana,
PARACETAMOL 500 MG AND CAFFEINE 65 MG 16028/0158,Guarana,Toothache
"PARACETAMOL, ACETYLSALICYLIC ACID, CAFFEINE",Guarana,Headache
PARACETAMOL/ACETYLSALICYLIC ACID/CAFFEINE,Guarana,Migraine
PARACETAMOL/AMINOPHENAZONE/CAFFEINE/CHLORPHENAMINE MALEATE,Guarana,Bronchitis chronic
PARACETAMOL+ASA+CAFFEINE (THOMAPYRIN N),Guarana,
PARACETAMOL/BUTALBITAL/CAFFEINE,Guarana,Migraine
PARACETAMOL + CAFFEINE,Guarana,Fibromyalgia
PARACETAMOL + CAFFEINE,Guarana,Product used for unknown indication
PARACETAMOL + CAFFEINE,Guarana,Migraine
PARACETAMOL + CAFFEINE,Guarana,Pain
PARACETAMOL + CAFFEINE,Guarana,Pyrexia
PARACETAMOL + CAFFEINE,Guarana,Musculoskeletal pain
PARACETAMOL + CAFFEINE,Guarana,Analgesic therapy
PARACETAMOL + CAFFEINE,Guarana,Cholecystitis acute
PARACETAMOL + CAFFEINE,Guarana,Influenza
PARACETAMOL + CAFFEINE,Guarana,Nasopharyngitis
PARACETAMOL + CAFFEINE,Guarana,Pharyngitis
PARACETAMOL + CAFFEINE,Guarana,Drug use for unknown indication
PARACETAMOL/CAFFEINE,Guarana,Product used for unknown indication
PARACETAMOL/CAFFEINE,Guarana,Intentional overdose
PARACETAMOL/ CAFFEINE,Guarana,Product used for unknown indication
PARACETAMOL/ CAFFEINE,Guarana,Migraine
PARACETAMOL/ CAFFEINE,Guarana,Fibromyalgia
PARACETAMOL/ CAFFEINE,Guarana,Suicide attempt
PARACETAMOL/ CAFFEINE,Guarana,Completed suicide
PARACETAMOL/ CAFFEINE,Guarana,Osteoarthritis
PARACETAMOL/ CAFFEINE,Guarana,Pain
PARACETAMOL/ CAFFEINE,Guarana,Arthralgia
PARACETAMOL/ CAFFEINE,Guarana,Headache
PARACETAMOL+CAFFEINE,Guarana,Analgesic therapy
"PARACETAMOL, CAFFEINE AND CARISOPRODOL (DORILAX)",Guarana,Pain
PARACETAMOL/CAFFEINE  (CAFFEINE/PARACETAMOL),Guarana,
"PARACETAMOL/CAFFEINE (CAFFEINE, PARACETAMOL)",Guarana,Headache
"PARACETAMOL, CAFFEINE, CODEINE",Guarana,
PARACETAMOL/ CAFFEINE/ CODEINE,Guarana,Analgesic therapy
PARACETAMOL/ CAFFEINE/ CODEINE,Guarana,Product used for unknown indication
PARACETAMOL/CAFFEINE/CODEINE,Guarana,
PARACETAMOL / CAFFEINE / CODEINE PHOSPHATE,Guarana,Back pain
PARACETAMOL / CAFFEINE / CODEINE PHOSPHATE,Guarana,Drug use for unknown indication
"PARACETAMOL (CAFFEINE, CODEINE PHOSPHATE)",Guarana,
PARACETAMOL-CAFFEINE-CODEINE PHOSPHATE,Guarana,
PARACETAMOL/CAFFEINE/DIHYDROCODEINE,Guarana,Product used for unknown indication
PARACETAMOL/CAFFEINE/OPIUM,Guarana,
PARACETAMOL/ CAFFEINE/ PHENYLEPHRINE HYDROCHLORIDE,Guarana,
PARACETAMOL + CAFFEINE + PHENYLEPHRINE HYDROCHLORIDE + CHLORPHENIRAMIN,Guarana,
PARACETAMOL/CAFFEINE/SALICYLAMIDE/PROMETHAZINE METHYLENE DISALICYLATE,Guarana,
PARACETAMOL+CAFFEINE SANDOZ,Guarana,Product used for unknown indication
PARACETAMOL + CARISOPRODOL + ANHYDROUS CAFFEINE (TORSILAX),Guarana,Pain
PARACETAMOL / CARISOPRODOL / SODIUM DICLOFENAC / ANHYDROUS CAFFEINE,Guarana,Pain
PARACETAMOL / CARISOPRODOL / SODIUM DICLOFENAC / ANHYDROUS CAFFEINE (T,Guarana,Product used for unknown indication
PARACETAMOL + CODEINE + CAFFEINE,Guarana,Drug use for unknown indication
"PARACETAMOL, CODEINE PHOSPHATE, CAFFEINE",Guarana,Intentional overdose
"PARACETAMOL, CODEINE PHOSPHATE, CAFFEINE",Guarana,Analgesic therapy
"PARACETAMOL, CODEINE PHOSPHATE, CAFFEINE",Guarana,Pain
PARACETAMOL/CODEINE PHOSPHATE/ CAFFEINE ANHYDRATE/MEPROBAMATE,Guarana,
"PARACETAMOL, DIHYDROCODEINE, METHYLEPHEDRINE HYDROCHLORIDE, CAFFEINE",Guarana,
PARACETAMOL + OPIUM + CAFFEINE,Guarana,
PARACETAMOL/OPIUM/CAFFEINE,Guarana,
PARACETAMOL/PIPERYLONE MALEATE/CODEINE PHOSPHATE/CAFFEINE,Guarana,Nasopharyngitis
PARACETAMOL W/CAFFEINE,Guarana,
PARACETAMOL W/CAFFEINE/CARISOPRODOL/DICLOFENA,Guarana,Muscle relaxant therapy
PARACETAMOL W/CAFFEINE/CARISOPRODOL/DICLOFENA,Guarana,Antiinflammatory therapy
PARACETAMOL W/CAFFEINE/CARISOPRODOL/DICLOFENA,Guarana,Osteoarthritis
PARACETAMOL W/CAFFEINE W/CODEINE,Guarana,Tardive dyskinesia
PARACETAMOL W/CAFFEINE W/CODEINE,Guarana,Pain
PARACETAMOL W/CAFFEINE W/CODEINE,Guarana,Product used for unknown indication
PARACETAMOL W/CAFFEINE W/CODEINE,Guarana,Procedural pain
PARACETAMOL W/CODEINE/CAFFEINE,Guarana,Product used for unknown indication
PELEX (ACETAMINOPHEN/ANHYDROUS CAFFEINE/CHLORPHENIRAMINE MALEATE/SALIC,Guarana,Product used for unknown indication
PELEX (ACETAMINOPHEN\CAFFEINE\CHLORPHENIRAMINE MALEATE\SALICYLAMIDE),Guarana,
"PELEX (CAFFEINE, CHLORPHENAMINE MALEATE, PARACETAMOL, SALICYLAMIDE)",Guarana,
PELEX [CAFFEINE;CHLORPHENAMINE MALEATE;PARACETAMOL;SALICYLAMIDE],Guarana,Product used for unknown indication
PELEX [CAFFEINE;CHLORPHENAMINE MALEATE;PARACETAMOL;SALICYLAMIDE],Guarana,Nasopharyngitis
"PELEX (CAFFEINE, SALICYLAMIDE, PARACETAMOL, CHLORPHENAMINE MALEATE)",Guarana,
PENZAL (ACETAMINOPHEN (+) CAFFEINE (+) DEANOL TARTRATE (+) PROPYPHENAZ,Guarana,
"PERCODAN /00090001/ (ACETYLSALICYLIC ACID, CAFFEINE, HOMATROPINE TEREP",Guarana,
"PERCODAN (ACETYLSALICYLIC ACID, CAFFEINE, HOMATROPINE TEREPHATHALATE,",Guarana,
"PERCODAN (ACETYLSALICYLIC ACID, CAFFEINE, HOMATROPINE TEREPHTHALATE, O",Guarana,
PERCODAN [ACETYLSALICYLIC ACID;CAFFEINE;HOMATROPINE TEREPHTHALATE;OXYC,Guarana,Product used for unknown indication
"PERCODAN (ACETYLSALICYLIC ACID, CAFFEINE, PHENACETIN, OXYCODONE HYDROC",Guarana,
"PERDOLAN (ACETYLSALICYLIC ACID, BROMISOVAL, CAFFEINE, CARBROMAL,CODEIN",Guarana,Pain
"PHARMATON (CAFFEINE, DISODIUM METHANEARSONATE, NICOTINAMIDE, PYRIDOXIN",Guarana,Upper respiratory tract infection
PHENOBARBITAL/GLYCERYL TRINITRATE/CAFFEINE CITRATE,Guarana,Product used for unknown indication
PHENOBARBITAL/PHENYTOIN/CAFFEINE/SODIUM BENZOATE,Guarana,
PI (CAFFEINE/PARACETAMOL/PROMETHAZINE METHYLENE DISALICYLATE/SALCYLAMI,Guarana,
PL (ACETAMINOPHEN + CAFFEINE + METHYLENEDISALICYLIC ACID + PROMETHAZIN,Guarana,
PL (CAFFEINE + METHYLENEDISALICYLIC ACID + PARACETAMOL + PROMETHAZINE + SALICYLAMIDE),Guarana,
PL (CAFFEINE/PARACETAMOL/PROMETHAZINE METHYLENE DISALICYLATE/SALICYLAM,Guarana,
"PL (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE, SALICYLAMIDE)",Guarana,
"PL (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE) (CAFFEINE, SALI",Guarana,
"PL CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE) (CAFFEINE, SALIC",Guarana,
"PL (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALI",Guarana,
"PL (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE)",Guarana,
"PL (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE) (GRANULES) (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE)",Guarana,
"PLEXON (CAFFEINE, PROPYPHENAZONE, BUCETIN, APROBARBITAL)",Guarana,
"PL GRAN. (CAFFEINE, PARACETAMOL, PROMEHAZINE METHYLENE DISALICYLATE, S",Guarana,
"PL GRAN, (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE,",Guarana,
"PL GRAN. (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE,",Guarana,
"PL GRAN. (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE)",Guarana,
"PL GRAN (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE, S",Guarana,Nasopharyngitis
"PL GRAN.(CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE, S",Guarana,Nasopharyngitis
"PL GRAN. (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE, SALICYLAMIDE)",Guarana,
"PL GRAN (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE, SALICYLAMIDE) GRANULE",Guarana,
"PL GRAN. (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE, SALICYLAMIDE) GRANULE",Guarana,
"PL GRAN. (CAFFEINE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE, SALICYLAMIDE) GRANULES",Guarana,
"PL GRAN        (CAFFEINE, PRACETAMOL, PROMETHAZINE METHYLENE DISALICYL",Guarana,
"PL GRAN (CAFFEINE, PROMETHAZINE METHYLENE DISALICLATE, SALICYLAMIDE)",Guarana,Nasopharyngitis
"PL GRAN. (CAFFEINE, PROMETHAZINE METHYLENE, DISALICYLATE, SALICYLAMIDE",Guarana,
"PL GRAN(CAFFEINE, PROMETHAZINE METHYLENE DISALICYLATE, SALICYLAMIDE)",Guarana,
"PL GRAN. (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE",Guarana,Nasopharyngitis
"PL GRAN. (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE",Guarana,Upper respiratory tract inflammation
"PL GRAN (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE D",Guarana,Infection
"PL GRAN. (CAFFEINE, SALICYLAMIDE, PARACETAMOL PROMETHAZINE METHYLENE D",Guarana,
"PL GRAN (CAFFEINE SALICYLAMIDE, PARACETAMOL; PROMETHAZINE METHYLENE DI",Guarana,
"PL GRAN(CAFFEINE, SALICYLAMIDE, PARCETAMOL, PROMETHAZINE HYDROCHLORIDE",Guarana,Upper respiratory tract infection
"PL GRAN (CAFFEINE, SALKICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE",Guarana,
"PL GRANULES (ACETAMINOPHEN, CAFFEINE, PROMETHAZINE METHYLENE DISALICYL",Guarana,
PL GRANULE(SALICYLAMIDE/ACETAMINOPHEN/CAFFEINE/PROMETHAZINE),Guarana,
PLIVADON (CAFFEINE/PHENACETIN/PROPYPHENAZONE),Guarana,Migraine
PLIVADON (CAFFEINE/PHENACETIN/PROPYPHENAZONE),Guarana,Headache
PLIVADON (CAFFEINE\PHENACETIN\PROPYPHENAZONE),Guarana,
"PL (PA) (CAFFEINE, SALICYLAMIDE, PARACETAMOL, PROMETHAZINE METHYLENE DISALICYLATE)",Guarana,
"PL (SALICYLAMIDE, ACETAMINOPHEN, AMHYDROUS CAFFEINE, PROMETHAZINE METH",Guarana,
PL (SALICYLAMIDE; ACETAMINOPHEN; ANHYDROUS CAFFEINE; PROMETHAZINE METH,Guarana,Nasopharyngitis
PL (SALICYLAMIDE/ACETAMINOPHEN/ANHYDROUS CAFFEINE/PROMETHAZINE METHYLE,Guarana,Upper respiratory tract inflammation
PL (SALICYLAMIDE/ACETAMINOPHEN/ANHYDROUS CAFFEINE/PROMETHAZINE METHYLE,Guarana,Pharyngitis
PL (SALICYLAMIDE/ACETAMINOPHEN/ANHYDROUS CAFFEINE/PROMETHAZINE METHYLENEDISALICYLATE),Guarana,
"PL (SALICYLAMIDE/ACETAMINOPHEN,ANHYDROUS/CAFFEINE/PROMETHEZINE METHYLE",Guarana,
PL (SALICYLAMIDE/ACETAMINOPHEN/CAFFEINE/PROMETHAZINE METHYLEN),Guarana,
PL (SALICYLAMIDE/ACETAMINOPHEN/CAFFEINE/PROMETHAZINE METHYLENEDISALICY,Guarana,Upper respiratory tract inflammation
PL (SALICYLAMIDE/APAP/CAFFEINE/PROMETHAZINE),Guarana,
PL (SALICYLAMIDE/CAFFEINE/PROMETHAZINE),Guarana,
POWDER OF OPIUM/CAFFEINE/PARACETAMOL,Guarana,Pain
"PROLAMINE (CAFFEINE, PHENYLPROPANOLAMINE HYDROCHLORIDE)",Guarana,
PRONTALGINE (ACETAMINOPHEN (+) AMOBARBITAL (+) CAFFEINE (+) CODEINE PH,Guarana,Neck pain
PRONTALGINE (ACETAMINOPHEN\CAFFEINE\CODEINE PHOSPHATE),Guarana,
PRONTALGINE (AMOBARBITAL\CAFFEINE\CODEINE PHOSPHATE\PARACETAMOL),Guarana,
PRONTALGINE [AMOBARBITAL;CAFFEINE;CODEINE PHOSPHATE;PARACETAMOL],Guarana,Migraine
PRONTALGINE [AMOBARBITAL;CAFFEINE;CODEINE PHOSPHATE;PARACETAMOL],Guarana,Neck pain
PRONTALGINE [AMOBARBITAL;CAFFEINE;CODEINE PHOSPHATE;PARACETAMOL],Guarana,Product used for unknown indication
PRONTALGINE [CAFFEINE;CODEINE PHOSPHATE HEMIHYDRATE;PARACETAMOL],Guarana,Toothache
PRONTALGINE [CAFFEINE;CODEINE PHOSPHATE HEMIHYDRATE;PARACETAMOL],Guarana,Product used for unknown indication
PRONTALGINE [CAFFEINE;CODEINE PHOSPHATE HEMIHYDRATE;PARACETAMOL],Guarana,Pain
PRONTALGINE [CAFFEINE;CODEINE PHOSPHATE HEMIHYDRATE;PARACETAMOL],Guarana,Ill-defined disorder
PRONTALGINE [CAFFEINE;CODEINE PHOSPHATE HEMIHYDRATE;PARACETAMOL],Guarana,Poisoning deliberate
PRONTALGINE [CAFFEINE;CODEINE PHOSPHATE HEMIHYDRATE;PARACETAMOL],Guarana,Drug use disorder
PRONTALGINE [CAFFEINE;CODEINE PHOSPHATE HEMIHYDRATE;PARACETAMOL],Guarana,Headache
"PROPAIN (NGX) (PARACETAMOL, CODEINE, DIPHENHYDRAMINE, CAFFEINE) CAPLET",Guarana,Bone pain
"PROPAIN (NGX) (PARACETAMOL, CODEINE, DIPHENHYDRAMINE, CAFFEINE) UNKNOW",Guarana,
PROPFAN (CAFFEINE/CARBASALATE CALCIUM/CHLORPHENAMINE MALEATE/DEXTROPRO,Guarana,
"PROPOFAN /00765201/(CAFFEINE, CARBASALATE CALCIUM, CHLORPHENAMINE MALE",Guarana,
"PROPOFAN /01607901/ CAFFEINE, DEXTROPROPOXYPHENE, PARACETAMOL)",Guarana,
"PROPOFAN /01607901/ (CAFFEINE, DEXTROPROPOXYPHENE, PARACETAMOL) TABLET",Guarana,
PROPOFAN (ACETAMINOPHEN (+) CAFFEINE (+) PROPOXYPHENE HYDROCHLORIDE),Guarana,
"PROPOFAN (ACETAMINOPHEN, CAFFEINE, PROPOXYPHENE HYDROCHLORIDE)",Guarana,
PROPOFAN (ASPIRIN (+) CAFFEINE (+) PROPOXYPHENE HYDROCHLORIDE),Guarana,
"PROPOFAN (CAFFEINE , CARBASALATE CALCIUM",Guarana,
"PROPOFAN (CAFFEINE, CARBASALATE CALCIUM, CHLORPHENAMINE MALEATE, DEXTR",Guarana,Ill-defined disorder
"PROPOFAN (CAFFEINE, CARBASALATE CALCIUM, CHLORPHENAMINE MALEATE, DEXTR",Guarana,Paronychia
PROPOFAN (CAFFEINE/CARBASALATE CALCIUM/CHLORPHENAMINE MALEATE/DEXTROPR,Guarana,Suicide attempt
"PROPOFAN (CAFFEINE, CARBASALATE CALCIUM, CHLORPHENIRAMINE MALEATE, DEX",Guarana,
PROPOFAN (CAFFEINE/CARBASALATE CALCUM/CHLORPHENAMINE MALEATE/DEXTROPRO,Guarana,Headache
PROPOFAN (PARACETAMOL/CAFFEINE/DEXTROPOPXYPHENE),Guarana,
